Sentence,Negative Connotations
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.,"غبي,معادي"
ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من المجوس,"يبيع ارضه, المجوس"
ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو زنجي كسرها بنقول له اللحم والعظم لا تبقي لنا شي,"صلعت, زنجي"
هؤلاء هم جزء من فئة المسلمين الذين هم إرهابيون متطرفون.,"إرهابيون,متطرفون"
كييف بلنتي ذي يلعن امك ياحكمم,يلعن
تخيل تقطع وريدك في بانيو الحمام عشان سوسو قالت عليك يا دبة وهههههههه,"تقطع وريدك, يا دبة"
لا يوجد زعيم بالعالم يستخف بالشعوب العربيه مثل اردوغان. ياقردغان بدلاً من ان تسحب سفيرك بالامارات لماذا لاتسحب سفير…,"يستخف, ياقردغان"
صدقا، الثرثرة تبدو غبية حقا.,غبية
إن إعادة إجراء هذا الاختبار ومحاولة اجتياز الأفكار يعني أن أي أحمق أبله يمكنه الحصول على أوراق اعتماد لأي مهنة في أي وقت.,"أحمق, أبله"
ضاعت فلوسك يا دبه ببلاش,دبه
عمكم ترامب يلي ضربه يا خولات و ليس انتم 🤣 🤣,خولات
الله يلعن كس ام سخافتكم ي شراميط انفجار دمر نص بيروت سبب ضحايا و مفقودين تجون تسوون عليه نكت سافله مثلكم ؟ لكم مقا,"يلعن, كس, سخافتكم, شراميط, سافله"
طيب لحجيه ليش ضايفني عندك,لحجيه
أنت مختل عقلبا ؟,مختل
قردوغان عاوز يحط رجله في منطقه بتاعتنا اللي اكتشفناه في البحر الابيض المتوسط بأي طريقة بس حب يجرب القوة لقى جيشنا…,قردوغان
اللي بيقول انت ليه مركز في كلام الناس ، يلعن ابوك ، انت متعرفش حاجة شوفت الحتة دي 😂,"يلعن ابوك, متعرفش حاجة"
الرجاء تضمين كل الحماقات التي يفلت منها الحزب الديموقراطي أيضاً.,الحماقات
الناس يموتون و رديت مستمرة في معاملة الضباط حول العالم كالقذارة,"يموتون,القذارة"
معلش سامحنا،احنا شراميط بنعمل افراح مختلطة من زمان,شراميط
تأكدوا هل لاعب كرة قدم والا كرة قدم أمريكية.. لأنهم يجون اقزام زي هذا,اقزام
لا يحتاج العالم الحر إلى غبائك .,غبائك
إجمع مالاً بقدر ما تستطيع ، لا تكن غبي مِثل أبيك ، فإن كل شيء سهل بالمال يا بُني,غبي
قصدك حربكم قتل للمرأة الضعيفة في بيتها وسط أطفالها في محافظة اب الى لعنة الله عليكم ي اقذر بشر,"قتل, لعنة الله, اقذر بشر"
استهدوا بالله شباب كلكم شراميط,شراميط
غير صحيح لان قردوغان في ورطه,"قردوغان,ورطه"
بعض الروائح النتنة لا يمكن التخلص منها .,النتنة
ديانج.....سوليه......قفشه ومهزومين 1/0 سويسري متخلف امه كانت بتبيع زبدة في لوزان,متخلف
وقفي صياح لا ادعس على رقبتك,"ادعس,رقبتك"
الإعلام اللبناني بدّو يروقها شوي كمان... مش إذا واحد سب وعبّر عن غضبو يعملولو درس بالأخلاق.. ايري فيكون وبالكبير يا شراميط,"درس بالأخلاق, ايري, شراميط"
ليس لديك الصدق ولا النضج للاعتراف بأنك قلت شيئا غبيا.,غبيا
احصل على فكرة قبل أن تقدم تعليقات غبية.,غبية
هتعدي الخط الأحمر امتئ ي قردوغان مرة 50 يوم,قردوغان
كلي خرا شراميط ما بيستردوا شي حتى شرفهم,"كلي خرا, شراميط, ما بيستردوا شي حتى شرفهم"
قسم بالله اغبى قرار تحكيمي شفته بحياتي يلعن ابوك ياكلب,"اغبى, يلعن ابوك, ياكلب"
جماعة السلطة عم تحكي عن شغب وتكسير بالمظاهرة اليوم، شغب وتكسير أكبر من إنفجار ٤ آب يا شراميط؟ سؤال بس 🤷‍♂️,"شغب, تكسير, شراميط"
لا أريد عناقا من قزم صغير مخيف مثلك,"قزم,مخيف"
استغفر الله ربي واتوب اليك 💔 وين ترحون من الله يل السياسين الا لعنة الله عليكم 💔 💔,لعنة
من السهل رؤية هؤلاء الأغبياء العنصريين.,"الأغبياء,العنصريين"
إذاً، من الأحمق الآن؟,الأحمق
اي والله هو غبي اخاف يشله السيل بقوله ينتبه 🥵,غبي
اللعنة، ربما نقوم بنسف ذلك حقًا خلال أسبوع.,"اللعنة,نسف"
متخلف ذا يحب يثير الجدل على ولا شي,متخلف
كس امكم مافيه احد يجاوبني,كس امكم
نحن قوم خاسرون ومفسدون .,"خاسرون,مفسدون"
نعم، إذا كان لديك أشخاص آخرين للقيام بذلك يا أحمق.,أحمق
لبنان مش محتاجه دعم من شراميط من أمثالكم كفو اذاكم عنها فقط لاغير,"شراميط,اذاكم"
لا تثق ابدا في اخونجي دخل سياسة,اخونجي
لماذا يهتم الكنديون بالهوكي في حين أن فرقهم كلها خاسرة؟,خاسرة
قردوغان 🐒 لم يتدخل في ليبيا او سوريا وقطر لحمايتهم او الخفاظ على مواردهم فهذا حال كل بلد يتدخل فيه هذ…,قردوغان
حد يقع في نفس الغلط مرتين؟ انت اهبل يابني؟ *وانا رايح عن الغلط البيت*,اهبل
فريق غبي حتى البلنتي جاء بالغلط,"غبي,بالغلط"
العار والله عليكم انتم يااتباع المجوس المكان يمنى والموجودين يمنيين والمفتولين يمنيين والقت…,"العار,المجوس"
لا انا جد جايه ادعسك,ادعسك
نصرة الله مع نصرة الحق يا جحش وليس لبيوت الدعاره والشذوذ الجنسي,"جحش,دعاره,شذوذ"
والله عندهم فريق قووووي مب بس ميسي لكن تفكير اللاعبين غبي,غبي
دعونا نستورد اللاجئين السوريين إلى ألمانيا أولاً.,نستورد
ومع ذلك فقد دعمتم المهرج طوال الوقت الذي كان فيه أحد كبار الوزراء في الحكومة.,المهرج
قردوغان دخل غازيا فمن مهد له الطريق,"قردوغان, غازيا"
كيف هذي فاول الله يلعن امك حكم,يلعن
لماذا لا تنزل ياحمار وتحتج على ذلك.,حمار
من اليوم ورايح معد في نصايح الحساب كله هبد طلعت حتى لو قلت نصيحه تضحكون لعنة الله عليكم,"هبد, تضحكون, لعنة الله عليكم"
معناتي يقولون مانتي دبه ليه تروحين 😐.,دبه
أوه، شيء آخر، عندما يتعلق الأمر بالحياة قبل التاريخ، يا رفاق انتم أغبياء!,أغبياء
بس يا حمار هو انت بتعالج مجانا كله بمصاري,حمار
لا لا لا الحكم ده غبي اوي كده ليه,غبي
كل دول شراميط ع التايم اسيبهم و اذاكر بقي,شراميط
مضحك جداً أمر بعض الوافدين ومن ضمنهم مصاروة ! يعايرون بلادنا بعلاقات صداقتها المتينة مع أميركا وهم يحلمون بالسفر,"مصاروة, يعايرون"
ساعتين وربع ولا نص ساعه رجعنا الدولة ودعسنا عليه وتم إعدامه نفس…,"دعسنا,إعدامه"
وجمهورنا مبسوط يقولك البريكان مو مطلوب منه يسجل لعنة الله عليكم 😭,لعنة الله
وأمور أخرى غبية .,غبية
الخسيس متحسف ع التداول والبقاء فوق ٨٦١٤ وده يرجع يتأكد منها قبل نهاية الجلسه والمزاد ويشاور عليها يمسكها ولا يشرمها 😎,"الخسيس, يشرمها"
هده الاخبار نشرا البارح كاتعاودو تنشروها لعنة الله عليكم,لعنة
هذا يجب أن يكون أغبى وأفسد طريقة للمنافقة في تاريخ البشرية,"أغبى,أفسد,منافقة"
هذا الرجل يعرف كيف يقتل الشيوعيين مثل لا أحد آخر!,"يقتل,الشيوعيين"
نحن ملزمون بالتعامل مع هذا التافه الصغير لسنوات إضافية تقريبًا.,التافه
أوه، انها موافقة zuker، نحن غبيون جدا لنصدقك على أية حال.,غبيون
من المعلقين المصريين متسولين وهلافيت وولاد شراميط,"متسولين,هلافيت,ولاد شراميط"
كل من صوت لها في يوم من الأيام يجب أن يحرم من حقوقه وأن يخصى .,"يحرم,يخصى"
متسولون اصحاب فتن هؤلاء يبيعون ارضهم وشرفهم وضمائرهم بأي ثمن لعنة الله عليكم,"متسولون, فتن, لعنة الله"
يا متخلف الهدايه بيد الله يمكن ربي يهديهم باخر لحظه…,متخلف
صح النوووووم ياجزائر !!!! اشمعنى لبنان؟؟ ليش مادعيتونا للمواجهة والمناقشة حول ذاكرة الاستعمار التركي لما وصل قردوغان ليبيا ؟؟؟,"قردوغان, الاستعمار"
اللهم عليك بالفاسدين الظالمين الملاعين اللهم عليك بكل وزير فاسد لعنة الله عليكم,"الفاسدين, الظالمين, الملاعين, فاسد, لعنة الله"
ماشي يا اقرع مقبوله منك,اقرع
أكثر برهانا على أن الليبرالية قد تكون اضطرابا عقليا,اضطرابا عقليا
عليكم لعنة الله وغضبه وسخطه يا اعداء الله ورسوله اللهم ارينا فيهم عجائب قدرتك عاجلا غير آجل اللهم طهر,"لعنة,غضبه,سخطه,اعداء"
البايرن يقسو على المتهالك برشلونه بخماسية مع الرأفة،، مدرب جحش وادارة مفلسة تقود اعظم نادي بالعالم،، ثلثا لاعبي برشلونه وجب عليهم الرحيل،،!,"المتهالك, جحش, مفلسة"
الله يلعن ابوك قعدت اقرا قلت الولد بيسدح لهم الحين تغريدتين يجاوب,يلعن
ما سمعنا جعاركم مبارح على القصف الإسرائيلي يلي اغتصب سماء سوريا ، نباح و عويل جيش ابو شحاطة وصل لقبرص,"اغتصب, نباح, عويل, ابو شحاطة"
نهني الأطفال والابرياء على مقتل هالمجرم الخسيس كفو يا ترامب 💪,"مقتل, مجرم, خسيس"
هذه ليست سياسة، هذه ليست سوى ثور مغرور للجماهير الجاهلة.,"ثور,مغرور,جاهلة"
للجميع أصعب مهمه بحياتي اسكر سحاب فستان وحده دبه والمشكله تهدد ياويلك لو انقطع يامسلمه اتقي الله.,"دبه, تهدد, ياويلك"
ترا العرش حقي بأوفرواتش انهدم وطاح وأنتي السبب عطيتك الشعلة وطفيتيها المفروض ترجعين لي عرشي يلعن أبوك,"انهدم, طاح, السبب, وطفيتيها, المفروض, يلعن, أبوك"
الدكتور بيقولي بلاش عصبية مش عارف اني بتعامل مع منايك تربية زرايب,"منايك,زرايب"
ما قصرت .. تطور الامر .. لعنة الله عليكم,لعنة الله عليكم
انت لحقت درست الاتفاقيه وقست حق مصر اد ايه ولا قردوغان عيطلك . خليك فى حالك.,"قردوغان,عيطلك"
يعني حياة المواطنين رخيصه عنكم .. ما يهمك من مات ع قد ما يهمك تثبت انك صح .. لعنة الله عليكم ولعنة الله ع السياسه والسياسيين,"رخيصه, لعنة, لعنة الله"
يختار الثاني عشان ما محد يقول عنه قزم,قزم
أنصار درامب المزريون يعتقدون أن أي شخص ليس أبيضاً هو بالتأكيد غير قانوني.,"مزريون, غير قانوني"
الله يلعن امك حكم !!!!!!,يلعن
إنه أسوأ عمدة حظينا به على الإطلاق!,أسوأ
مرة أخرى، المزيد من الألعاب الليبرالية الغبية.,غبية
أتمنى ان كل متخلف يمسك جوال حقه يعرف ايش قاعد يشوف او ايش قاعد يكتب…,متخلف
إنهم يكرهون للمثليين مثلي,يكرهون
لأنك انسان مخنوث لو انت رجال ما تذكر العار لكن خذ لك رد شافي وتحياتي لما تقعون رجال وتعتمدو,"مخنوث,عار"
افضل تعليق شفته للمقطع كلام دبه 💔,دبه
