Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
कुछ बेकार लोग अखबार पढ कर देश छोडने की बात करते है़ं,Medium,derogatory,informal and negative,discontent,बेकार
इस को पहले अरेस्ट करके कड़ी कार्रवाई करनी चाहिए,Medium,aggressive,directive,punitive,"अरेस्ट, कड़ी कार्रवाई"
बाकी सब लोग तो बेकार का काम करने के लिए पैदा हुए है .,High,derogatory,casual and informal,negative,बेकार
लेकिन मैं कहना चाहूँगा इन सभी से तुम कुछ भी कर ले तेरी अजेंडा तेरे पे ही डाल के छोड़ेंगे।,Medium,confrontational,colloquial and accusatory,negative,"तेरी अजेंडा, डाल के छोड़ेंगे"
मोदी जी बेवकूफ है जो जल संरक्षण के पीछे लगे हुए हैं ?,High,disrespectful,derogatory and informal,negative,बेवकूफ
ये एक दिन पूरा बर्बाद ही कर देंगे ,Medium,frustrated,colloquial and negative,disappointment,बर्बाद
बुमराह के बाहर जाने के बाद मेरे दोनों हाथों पे बहुत दबाव है पर मैं देश नही झुकने देगा,Low,determined,informative and assertive,patriotic,none
बाकी देश भर में जो तमाशा मचाया जाएगा वो अलग।,Medium,critical,informative and expressive,negative,"तमाशा, मचाया"
अगर नुकसान नही है तो फिर तुम रोना क्यों रो रहे हो ?,Medium,confrontational,informal and probing,dismissive,रोना
"केजरीवाल को भाड़ में डालो, वो तो है ही बुरा इंसान",High,aggressive and derogatory,informal and offensive,hostile,"भाड़ में डालो, बुरा इंसान"
ओर चलाओ तेज गाड़ी,Medium,commanding,colloquial,aggressive,none
मेरे मन में शंका उठ रही है की तू क्षत्रिय घराने से हो ही नहीं सकता,Medium,doubtful and accusatory,informal and judgmental,suspicion,"शंका, तू, हो नहीं सकता"
"सुन, फैमिली को दोबारा बीच में लाया तो बुरी तरह मारते हुए ले कर आऊंगा",High,threatening,aggressive and hostile,anger and intimidation,"मारते, बुरी तरह"
सभी को अच्छे से समझाइए,Low,formal,informative and neutral,casual,none
बहुत मुश्किल हुई थी क्रिकेटर की रन मारने में,Low,matter-of-fact,descriptive,neutral,मुश्किल
कन्हैया कुमार की गलती की वजह से सिंधिया हारे शत्रुघ्न खामोश हुए और केजरीवाल पर भी असर हुआ ।,Medium,critical,descriptive and evaluative,negative,"गलती, हारे, खामोश"
कुछ लोग हैं जो विपक्ष में पहले भी कुछ भी बोलते रहते थे .. ,Low,disparaging,colloquial,dismissive,कुछ भी बोलते
भक्त बनो पर अंधभक्त नहीं,Medium,advisory,direct and cautionary,critical,अंधभक्त
ये तीन पीढ़ी से कश्मीर में राजा की तरह शाषन कर रहे है,Medium,critical,informative and accusatory,negative,शाषन
बुरे लोग बुराई दिखाते ही है,Medium,derogatory,colloquial and opinionated,negative,"बुरे, बुराई"
ये पक्षपात मीडिया खासतोर पर एक एंकर अंजना ओम कश्यप हैं पक्षपाती,Medium,accusatory,critical and informal,negative,"पक्षपात, पक्षपाती"
बुरे आदमी जिसे फिल्म अच्छी नही लगी उसे तू गाली देगा?,Medium,informal,confrontational and judgemental,aggressive,"बुरे, गाली"
शांतिदूतों ने उसके साथ जो किया वो नहीं दिखा तुझे ?,Medium,accusatory,informal and confrontational,critical,नहीं दिखा
विपक्ष का काम ही है कि वो सरकार को जगाए..,Low,assertive,informative,critical,none
"बूम बूम बुमराह, कर दिया मोसदिक को गुमराह",Low,playful,colloquial and expressive,humorous,गुमराह
अब की बार थोड़ा भी बर्दाश्त नहीं करेंगे!,Medium,assertive,informative and neutral,aggressive,बर्दाश्त नहीं
मुसलमान-हिन्दू आतंकवादी होते हैं ऐसा बोलने वालों का बहिष्कार करो..,High,aggressive,inciting and divisive,hostile,"आतंकवादी, बहिष्कार"
"एक यादव एक क्रिश्चियन को बीच मैदान में जबर्दस्ती झुका रहा है, क्यों?",High,aggressive,derogatory and accusatory,hostile,"जबर्दस्ती, झुका रहा है"
बुरे नेताओं का कोई मज़हब नही होता!,Medium,critical,assertive and critical,negative,बुरे
भाग आंधी आई.' समझे,Medium,commanding/aggressive,informal and dismissive,urgent,"भाग, समझे"
अब तो सच बोल दे,Low,informal,demanding,urgent,none
"जो लोग ये कह रहे है कि एयर स्ट्राइक सेना ने किया मोदीजी ने नही,",Medium,accusatory,critical and dismissive,disapproving,नही
तो क्या नींबू पानी और क्या रसना,Low,casual,conversational,neutral,none
न्यूज कि हेडलाइन बनाने वाले अच्छे लोग नहीं है,Medium,critical,informative,dissatisfaction,अच्छे लोग नहीं
पूरी दुनिया परेशान है,Low,neutral,informative and slightly negative,concerned,परेशान
तू तो एक विधायक बनने के लायक नहीं है ...,Medium,disparaging,informal and demeaning,negative,लायक नहीं
हद तो तब हो जाती हैं जब आरक्षण का लाभ लेने वाले लोग ही आरक्षण के खिलाफ बोलने लग जाते हैं |,Medium,critical,castigatory,disparaging,"हद, खिलाफ"
कुछ लोग सिर्फ बुरा भला सुनने के लिए ही पैदा होते हैं,High,derogatory,demeaning and critical,negative,"बुरा भला, पैदा होते हैं"
यहां चादर और अपनी राजनीति लपेट लो   हर जगह राजनीति,Medium,sarcastic,colloquial and critical,frustration,राजनीति
राजीव त्यागी जी ने क्या खूब कहा था | पक्षपाती बिका हुआ,Medium,critical,derogatory,negative,"पक्षपाती, बिका हुआ"
"वह यहाँ आके बोल रहा दे दूँगा,दे दूँगा",Low,informal,conversational and repetitive,neutral,none
बहन बेटी की हिफ़ाज़त नहीं करेंगे और फ़िर बेटी बढ़ाओ-बेटी बचाओ का नारा लगाएंगे।,Medium,sarcastic,critical and confrontational,disappointed,हिफ़ाज़त नहीं करेंगे
अगर दिल्ली पुलिस उन पर कार्यवाही किया तो उनका मन और बढ़ जाएगा।,Medium,cautionary,informative,warning,None
जायरा वसीम को लेके जो तमाशा कर रही है,Medium,dismissive,colloquial,critical,तमाशा
इस बुरे आदमी पर  पंजाब में कारवाई करो |,Medium,commanding,directive,aggressive,बुरे
प्रशासन कब तक चेतावनी देगा उसको.. ??,Medium,critical,questioning and accusatory,frustration,चेतावनी
यह क्या जाने राजा भोज के बारे में?,Medium,dismissive,informal and questioning,skeptical,none
तुम जैसे को देशद्रोही की बात करनी ही नहीं चाहिए ।,High,accusatory,derogatory,hostile,देशद्रोही
जिस बेवकूफ को अग्नि परीक्षा देना पड़ा,Medium,derogatory,informal and harsh,negative,बेवकूफ
उसके मां और बाप मरे कैसे?? अब जबाब दो,High,aggressive,interrogative and accusatory,insensitive,"मरे, जबाब दो"
भारत के पक्षपात मीडिया का वहिष्कार करे,Medium,imperative,accusatory and commanding,critical,"पक्षपात, वहिष्कार"
कुछ दोस्त ऐसे भी होते है।।,Low,informal,neutral,neutral,none
वह अभी बोल रहा था एक महिना हुआ है,Low,neutral,informative,neutral,none
बुरे लोग जब भी कुछ बोलेंगे तो बुरा ही बोलेंगे !,Medium,dismissive,colloquial and somewhat confrontational,negative,"बुरे, बुरा"
बन्दर ने पेड़ की डाली पर दो गुलाटी मारी और मादा सम्भोग के लिए तैयार हो गयी।,Medium,vulgar,informal and explicit,sexual,मादा सम्भोग
मर जाना ही अच्छा है तेरे हस्बैंड का,High,aggressive,derisive and abusive,malicious,"मर जाना, अच्छा, तेरे"
मै भी कहेता हूं अबे ये क्या है ?,Medium,informal,conversational and assertive,frustration,अबे
बेकार का तमाशा करने वालों कहां हो ?,Medium,accusatory,informal and critical,aggressive,"बेकार, तमाशा"
तुम्हारा गुरुर हम तोड़ देंगे,High,aggressive,confrontational and assertive,hostile,"गुरुर, तोड़"
अरे वाह एक बुरा आदमी दूसरे बुरे आदमी को बधाई दे रहा है,Medium,sarcastic,informal and critical,negative,"बुरा, बुरे"
पादरी बलात्कार का आरोपित  होने के बाद भी तुझसे अपना स्वागत करवा रहा था?,High,accusatory and confrontational,informal and emotional,negative,"बलात्कार, आरोपित"
पक्षपाती क्यों करती है ? तुझे हम सुधार देंगे!,High,accusatory and threatening,confrontational and aggressive,negative,"पक्षपाती, सुधार देंगे"
तुम्हें अधिकार नहीं है भारत के मामले पर तुम कुछ भी बेकार बोलो,Medium,dismissive,confrontational,disrespectful,"अधिकार नहीं, बेकार"
"धर्म विशेष मत बोलो प्लीज़ भाई, खुल के बोलो|",Medium,commanding and assertive,informal and direct,assertive with a hint of impatience,धर्म विशेष
बाकी का मीडिया बिका हुआ है। बिकाऊ मीडिया।,Medium,accusatory,colloquial and critical,negative,"बिका, बिकाऊ"
इतने बेकार लोग भरे पड़े हैं फिल्म इंडस्ट्री में,Medium,disparaging,informal and critical,negative,बेकार
सच में ये बुरे इंसान हैं भारतीय सेना का अपमान करते समय शर्म ना आया,High,critical and accusatory,disparaging and disrespectful,negative,"बुरे, अपमान, शर्म ना आया"
तुम बुरे लोग साधु के नाम पे कलंक हो तुम लोग,High,accusatory,derogatory and aggressive,negative,"बुरे, कलंक"
"जडेजा की फिरकी, बांग्लादेश समझ ना पाई",Low,neutral,informative and descriptive,neutral,none
वही या बुरी औरत है,High,derogatory,informal and accusative,negative,"बुरी, औरत"
शर्म आनी चाहिए आप लोगों को ये देश वीर जवानों का है. इन नेताओं का नहीं,Medium,reprimanding or accusatory,critical and nationalistic,disapproval,शर्म आनी चाहिए
क्योंकि उसने तुझे बुलाना छोड़ दिया है ना चापलूसी करवाने के लिए,Medium,sarcastic,informal and derogatory,negative,चापलूसी
जानते है जैसे ही तेजस्वी के पास पावर आयेगा चतुर्वेदी पहले से ही चापलूसी करना शुरु कर देगा ।,Medium,critical,colloquial,skeptical,चापलूसी
थमता नहीं है सिलसिला बुरे कामो का क्या सो गया है ज़मीर नेता और सरकारों का,Medium,critical,accusatory and negative,disappointment,"बुरे, सो गया, ज़मीर"
अब सेना कदम उठाये और ऐसे बुरे लोगों को ठिकाने लगाए,High,aggressive,commanding and hostile,hostile,"बुरे, ठिकाने लगाए"
जब तक हम शांत है ना तब तक अच्छे है,Low,conversational,informal and assertive,cautionary,none
"खाने को रोटी नही, पिने को नही पानी। और ये चला, हिंदुस्थानीयो को सिखाने जुबानी ।।",Medium,sarcastic and accusatory,critical and informal,negative,"चला, सिखाने जुबानी"
इस बेकार आदमी को बाहर कर दे ||,Medium,hostile,informal and blunt,disdainful,बेकार
अब कहा गया इस देश का बेकार कानून हद हो गयी,Medium,critical,informal,frustration,"बेकार, हद"
जैसे ही यह बुरे लोग ज्यादा हल्ला मचाए तो इन्हीं को चुप कर डालें,Medium,aggressive,commanding and negative,hostile,"बुरे, चुप कर डालें"
चुप कर रोज रोज अपने राज खुलवाने वाली बुरी औरत,High,aggressive and accusatory,informal and derogatory,hostile,"चुप कर, बुरी औरत"
अच्छा सबक सिखाओ उसे तभी कुछ होगा,Medium,aggressive,imperative,punitive,"सिखाओ, सबक"
इसका खुद का वीडियो ट्विटर पे है महिला पुलिस के साथ बतमीजी करते हुए,Medium,informal,accusatory,negative,बतमीजी
फ्लिपकार्ट मेरा पैसा कब मिलेगा ? जल्दी बता,Low,demanding,direct and informal,frustration,none
आपके फूफा सांसद विधायक को रिश्वत देते थे,Medium,accusatory,informative and negative,negative,रिश्वत
बिकी हुई मीडिया को बेकार के काम पर लगा देते है ?,Medium,critical and accusatory,informal and negative,disapproving,"बिकी हुई, बेकार"
पक्षपाती मीडिया का ऐतिहासिक पक्षपात ।,Medium,critical,assertive,negative,"पक्षपाती, पक्षपात"
तुझे अब शरारती तत्व दिखने लगे,Medium,informal,derogatory and accusatory,negative,शरारती तत्व
