Sentence,Toxicity Level,Tone,Language,Implied Sentiment
ገልቱዬ ስንቴ ነው ሚሞቱት ግን? መሞታቸውን የዛሬ ወርም አርድተኘን ነበር ??,Medium,Sarcastic,Inquisitive and Provocative,Insensitive
የምን አባትህ አድዋ ነው የምትዘክረው አንተ አጋስስ ሰይጣን የአድዋን ህዝብ በባዕድ እያስጨፈጨፍክ ስለአድዋ መጨፈር ከአሁን ጀምሮ አድዋ_ትግራይ_ናት። ት,High,Aggressive,Confrontational and Insulting,Hostile
ጀዛብ ስውር ኣእምሮ ፎእ እኔ ምልክ ግን ኣንተ የ7ፍንጃል የጠንቛይ ልጅ እጅህን ከትግራይ ህዝብ አንሳ ኣንተ ዲቃላ የኣብነ ሻርዕ ጅላክ እሽኣላህ እግዚኣብሔር ይድፋክ,High,Aggressive,Confrontational and Insulting,Hostile
ኣንተ ተላላኪ ዉሸታም ሁሉም ነገር ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,High,Dismissive,Confrontational and Insulting,Hostile
ብዙም አትፈንጥዝ ጋሽ ሄኖክን በሀሣብ ሞግተው የዛሬ አስፈራሪ የነገ ፈሪ ይሆናል,Medium,Cautionary,Admonitory and Critical,Apprehensive
ደደብ ለምን አንተ አትሞትም ለኢትዮጽያ አንድነት ከሆነ አሽቃባጭ ሰለዚህ በአንተ አስተሳስብ ገና መሞት አለበት ድንጋይ ራስ መጀመርያ ሰው ሁን,High,Aggressive,Offensive and Insulting,Hostile
እውነት ካለህ እኮ ምንም ኣግዙኝ እርዱኝ ማለት አያስፈልግም:: እዉነት ራሱ ይመሰክራል እና ነው:: ለእንዳንተ ዉሸት ቀለቡ ግን ዕዉነትም ሲነግሩት ኣይዋጥለጥም,Medium,Disdainful,Critical and Dismissive,Condemnatory
ሃሃሃሃሃ.አይዱ ዲሉዥናል ይሉናል። የዲሉዢኑ ባለቤት ማን እንደሆነ በማያዳግም ሁኔታ ለመመስከር ከዘመን በላይ ማንን ምስክር እንጥራ እንግዲህ? ማየት ነው።,Medium,Sarcastic and Skeptical,Critical and Doubtful,Contemptuous
አንተ ውታፍ ነቃይ የትላንቱን ዲቤት አየህው አንገትን የሚያስደፋ እንዳንተ አይነቱን በቁሙ የሚቀብር ነው ከአብን ጋር ወደፊት ደደብ ዲቃላ,High,Aggressive,Confrontational and Insulting,Hostile
ከማነው አሁን ሚታገለው? ከወንድሙ? ወጣ ብሎ ጠላት አጥቅቶ ያቃል? መንደር ውስጥ ማንን ለማጥቃት? ቱልቱላ ብቻ,High,Aggressive,Confrontational,Hostile
ወሬኛ በለው ባክህ አሁን ነው ይሄ የሚታየው ግደል ተጋደል ሲል ከርሞ:: መገለባበጥማ ይችሉበታል,High,Aggressive,Accusatory and Violent,Threatening
በመጀመሪያ ወንደኛ አዳሬ የሚባል ቃል የለም ሲቀጥል ደግሞ በጣም የቅናት አስመሰለብህ ያጣ ለማኝ ተሳድቦ ይሄዳል አለ ያገሬ ሰው ።,Medium,Critical,Disparaging and Accusatory,Negative
አንቺ ደደብ ስለ ሃገርሽ የምታስቢ ከሆነ ወሬሽን ከምትነፊ አንድ የዳቦ ለተራበው የትግራይ ምስኪኑ ህዝብ ብትረጅው ይሻላል,High,Dismissive,Insulting and Belittling,Derogatory
መፅሀፍ ማለት አንቺ ተጋድመሽ እንዳሮጌ እርግብ አልጋላይ የምታጎላጂጂበት ማለት ሳይሆን እንደ ትጉህ ንብ በንቃት እወቀት የሚመጠጥበት ነው።,Medium,Disparaging,Derisive and Comparatively Aggressive,Dismissive
አንቺ ምነው እንዲህ ቅጥል አልሽ የሰው ድምጽ ለማፈን ብለሽ ነው ደደብ ሂጅይ እዛ የህወሀት ቡችላ።,High,Insulting,Confrontational and Disparaging,Hostile
እኔ አልተረዳሁም ምንድነው የምትቀባጥረው? ማን አንተን የብዙሀኑ ህዝብ ተወካይ አደረገህ? ወሬኛ ብሄርተኛ በቃ ዘራፍ ለማለት ትንቀዠቀዣላችሁ.,Medium,Accusatory,Confrontational,Disapproving
ምን እገባሽ እዚያው የአረብ ባርነትሽ ይቀብርሻል ባንዳን ተጠቅመው ነው የሚቀብሩት ይሆም እውነት የማይቀር ነው::,High,Aggressive,Offensive and Insulting,Contemptuous
PMOEthiopia የህዝብን ደህንነት የማይጠብቅ ውሻ ነው,High,Aggressive,Insulting,Disrespectful
አሁን እስክንድር እና ልደቱ አብረው ለንፅፅር ሚቀርቡ ናቸው? በጨለማው ዘመን አስፈሪውን ወያኔ በብእር ያንበረከከ ያውም አፍንጫቸው ስር ልደቱ ወያኔ ተደምስሶ እንደራደ,Low,Inquisitive,Descriptive and Informational,Neutral
በንጹሃን ደም መቀለድ ውጤቱ መጥፋት ነው። የክፋት ጥጉ መጥፋት ነው። ንጹሃን እንዲታረዱ ያደረግኸው ሴራ ጠልፎ ሊጥልህ እደጅህ ቆሟል።,High,Aggressive,Accusatory and Alarmist,Hostile
አንተ ነህ እንጂ ዲቃላ እሱስ አህመድ አሊ ሚባል አባት ነበረው በነገራችን ላይ እጅና እግራቹ አጥሯል አሁን የቀረው አልሞት ያለው ምላሳቹ ነ,High,Disrespectful,Offensive and Insulting,Hostile
አንድ ደንቆሮ ሂስቶሪያን ነኝ የሚል የኢዲያሚን ወዳጅ ሸገር ላይ እንደዚህ ሲተረተር ነበር። ሦስት የጉሙዝ ቀስት በአንገትህ ይሰካ ብዬ ተራግምያለሁ።,High,Aggressive,Threatening and Insulting,Violent
ወንጀሎች እንደልባቸው የሚፈነጩባት አገር ማየት ኣንፈልግም መንግሥት አደብ ያስገዛልን ነው ያልከው ??? ኢትዮጵያ ውስጥ ከአብይ በላይ ወንጀለኛ የለም,Medium,Critical,Accusatory and Disapproving,Dissatisfied
ባለጌ ለመሆንሺ ምሰክር አያሻኝም ሰው ሰላልሆንሺ አሉ ብለሺ አወራሺ ማንም በሴትነቱ በሰውነቱ ይከበራል,Medium,Defensive,Firm and Assertive,Protective
እንኳን ደስስስስ አላችሁ። የኛ ውድ ተላላኪዋዎች የምስክር ወረቀትም ይዘጋጅላችኋል።,Low,Congratulatory,Positive and Formal,Encouraging
ለውሸት የተፈጠርክ በሽተኛ በዚህ ዓይነት ሰውን ማደናገር የማትችልበት ጊዜ ደርሰሃል ሁሉ ነገርህ አስመሳይ ውሸታም ከስምህ ጀምረህ ፎርጅድ የሆንክ,High,Judgmental and Dismissive,Insulting and Accusatory,Contemptuous
በኢንሳ ውስጥ የሰዎችን ዶክመንት ሲበረብር ለኖረው ሰው ይህ ቀላል ነው። ማፈሪያ,Low,Informative,Neutral,Objective
ጉራ ብቻ ግንቦት ሃያ መከበር ካቆመ ሶስት ዓመት ሞላው ተመስገን አንተም ዝም ብለህ አለቃቅስ,Medium,Dismissive,Confrontational,Critical
እንደ አንተ አይነቶች ናቸዉ ሀገራችንን እያመሱ ያሉት ደንቆሮች መሀይሞች ጭንቅላታቸው የተመረዘ የጠበበ አንተ ስለሀገር,High,Insulting and Condescending,Derogatory and Abusive,Contemptuous
ትንታኔ ዘጋኝ???? ፓለቲካዉንም እኮ እንደዚህ እየተነተናችሁ ነዉ አገሪቱን ዱቄት ያደረጋችሗት።,Medium,Accusatory,Critical and Disapproving,Frustrated
ሰፋሪ እሱ ድሮም ነበረ ኮተትሽን ይዛሽ ጎጃም ማሄድ ትችያለሽ,Medium,Sarcastic,Casual and Teasing,Belittling
ኮተታም አሁን አተ ሰዉ ነህ ጭቅላትህ ሆድህ ነዉ ኤርሚያስን ለመተቸት ሞራል የለህም የአበበ ገላዉ የዉሸት ማስረጃ ማን ይሰማዋል,High,Aggressive,Derogatory and Accusatory,Hostile
I think ፈረስ እና አህያ ፈልገውና ፈቅደው አልያም ሲጠርባቸው ነው የተዳቀሉት፣its just ቅንዝር man . wait wait ምን ለማለት,Medium,Sarcastic,Mixed and Slightly Insulting,Derisive
በነፈሰበት አትንፈስ . ራስህን ሁን አቋም????,Medium,Aggressive,Confrontational,Disapproving
መሀይም። በአማርኛ እየተበጠረቁ አማርኛ አታውሩ።??,Low,Admonishing,Casual,Critical
የሄ እንደ ውሻ ተጎትቶ ነዉ ሚወጣው ክብር አያውቅም የበሻሻ ገገማ ነዉ,High,Derogatory,Insulting and Disparaging,Contemptuous
ታሟል የሚያውቅለት ዘመድ አጣ እንጂ ይኸን ደነዝ ማጥመቅ ሳይሆን አሰሮ 80ጊዜ መግረፍ ነበር,High,Contemptuous,Aggressive and Degrading,Malicious
ቀድሞ ነበር እንጂ መጥኖ መደቆስ አሁን ምን ያደርጋል ድስት ጥዶ ማልቀስ። ጉራ ብቻ  ለዚሁ ነበር ያ ሁላ ፉከራ ???,Medium,Sarcastic and Critical,Disparaging and Derisive,Dismissive
ወንድ የሆነማ ቆሞ ይሸናል። ደግሞ ለሰነፍ ቆሞ ሊሸና ያምረዋል እንዴ? ያው እንደ ለመደው ቁጭ ብሎ ይሽና እንጂ። ወሬ አያብዛ ጀግንነት በስራ እንጂ መች በቀረርቶ በፉከራ ሆነና።,High,Disparaging,Confrontational and Derogatory,Contemptuous
የኢትዮጵያ ሕዝብ ማወቅ ያለበት ታላቅ ሴራ ሀገር ወዳዱንና ባለ integrity ጄ/ል ሰዓረ መኮንን የገደለውና እንዴትስ ሊገደሉ እንደቻሉ ማወቅ አለበት:: ኢትዮጵያ ሀገሬ ሞ,Medium,Accusatory,Provocative,Outraged
አብይ አህመድ ጨካኝ ነው:: ከሱ ጋር ሲወዳደር መንግስቱ ኀ/ማርያም የመጨረሻ ሩህሩህ አይደለም እንዴ::?? ከአብይ አንፃር መንግስቱ ደግና ሰፍሳፋ ሆኖ ነው ያገኘነው:: አብይ ህፃና,Medium,Critical and Sarcastic,Comparative and Insulting,Negative and Disparaging
ከዋነኞቹ የትግሬ ነቀዝ ፋሺስቶች አንዱ የሆነው ጄኔራል አብርሃ ወልደማርያም ሞቷል ይህ የትግራይ አውሬ መጠን የለሽ ገንዘብ ቢያካብትም በካንሰር ተለክፎ ሲሞት ሰዓረ እና ገዛኢ ከሚባ,High,Hostile and Derogatory,Insulting and Aggressive,Malicious
የHighschool ዳይሬክተራችንን ሚስቱ 12 ሲሆን ከጨብሲ ቤት እንዴት እያብጠለጠለች ትወስደው እንደነበረ አይረሳኝም ??,High,Mocking,Derogatory and Offensive,Disrespectful
