Sentence,Negative Connotations
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???)))),"дебил, пан-баран, еврейское тв, даун"
завтра в хабаровске вдвшники будут разгонять быдло,быдло
"эта походу старое фото,в середине хряк телепузик мэр орши лисовский.редкая скотина.","хряк, телепузик, редкая скотина"
а что рядом других что мужиков рядом не оказалось??? кто этому ублюдку табло начистил!!?????1 вывод????? мужики к сожалению перевелись .............,"ублюдку, табло, перевелись"
"хули вы бляди клянчите классы ,просто помните.","хули,бляди"
веселись сегодня ептить удручённый ты наш:-d,ептить
твари награждают себя. кто пойдет за них воевать. сам и путин.,твари
"мразота, больше ни хуя делать не умеют, кроме как обижать слабых и беззащитных","мразота, ни хуя"
таких тварей только могила исправит.,"тварей, могила"
"садисты. таких родителей необходимо найти и наказать, однозначно.","садисты, наказать"
"Пруфы засирания тредов , к примеру",засирать
стоит ли уделять внимание каждому пидарасу,пидарасу
мишустик ты бы пасть свою поганую закрыл,"пасть, поганую"
вы что хотите что бы ваши дети в будущем в дерьме жили?,дерьме
этих уродов надо всех сократить.,уродов
"точно,сука урод, и это мягко сказано,уже в каждую спортивную передачу лезет,приходится искать каналы и репортажи без его рожи и участия !","сука, урод, рожи"
"Вы же за полный разрыв отношений с ахрессором, тогда нахуй вы хотите транзита?",нахуй
?так хоть кто то по обочине бы ехал.а так все как дебилы встали...дальнобои порою ахуевают...,"дебилы, ахуевают"
"курва галичанская , приехала в одессу со своим уставом !",курва
Там написано он попросил и убедился тупица ты значит они повернулись уже,тупица
дурдом ромашка..нету на сегоднейший день нормальных мужчин ....то гейтр пидораз то урод вот такой ..,"дурдом,гейтр,пидораз,урод"
"ебливая группа одна реклама, пидлры продажные..","ебливая, пидлры, продажные"
"пиздуйте с проекта, на вас смотреть уже противно, из-за вас не хочется смотреть дом 2","пиздуйте, противно"
и стабильные закоренелые долбоебы восхваляют все это,долбоебы
"это пипец! грех какой! гореть им в аду , вандалы!","пипец, гореть, аду, вандалы"
ебануться можно!!! кокаин был не свежий!..,ебануться
"ублюдкам бабушкина квартира нужна, вот и хотят свести в могилу и остаться не причём падлы!!!","ублюдкам, свести в могилу, падлы"
ты рф живешь и грязтю россию полеваеш.хуйло,"грязтю, хуйло"
Нехуй засирать города ненужным старьём.,"Нехуй,засирать"
пиздуй нахуй за любую границу и там прояви себя.,"пиздуй, нахуй"
"не уважаю мужиков , которые обещают и не выполняют, одним словом пиздабол",пиздабол
если эта тухлодырая овечка своим обдолбаным небольшим от природы мозгом нихуя непомнит торчек обоссаный то это его неосвобождает от параши,"тухлодырая, обдолбаным, нихуя, торчек, обоссаный, параши"
"жесть какая-то. дети без матери, отец долбоёб в тюрьме.","жесть, долбоёб"
Какого хуя он до сих пор не в бане?,хуя
гниды пиндосовские считают себя хозяивами земли,"гниды, пиндосовские"
хорош хуеть !!!!я сейчас еще в службу поддержки нахурярю на вас защеканцы!!!!!!!!!!,"хуеть,нахурярю,защеканцы"
Самое тупое - это невозможность удалить все оставленные где-то комментарии,тупое
"это щяс так он пиздит.до власти добираются,другие люди становятся.уроды","пиздит,уроды"
"пиндосы не успокоятся, пока россию не развалят.",пиндосы
"по себе не суди, жопадающий",жопадающий
и на этом закончить с тобой беседу .............видно чмо капитальное .......,чмо
да потому что козлы по телефону пиздят когда едут!!!!! своими глазами вижу каждую неделю мотаюсь по областям,"козлы,пиздят"
"посадить на наши пенсии, ущнает сука",сука
какой идиот придумал неделю досрочных выборов ?,идиот
да всем насраааааааааааааааааааать на это уебище,"насраааааааааааааааааааать, уебище"
"ах ты ссука, конченая ты тварь, получается это я бухал не появляюсь дома по две недели.","ссука, конченая, тварь, бухал"
"весь мир видел,свидетелей тьма,а он блядь сервер дрючит,ну не надо из людей таких же дебилов делать каким сам является.","блядь, дрючит, дебилов"
"Чтоб костями не колола, бл ать!",бл ать
да и пусть хуярит туда . придурок,"хуярит,придурок"
нет вы не правы она у меня очень достойная девочка моя только всякую мразь почему то слушает:-(,мразь
урод такое впечатление что сейчас вся полиция похожа на этого дебила,"урод,дебил"
гетте самый известный педераст в группе.,педераст
"писать научись правильно еблан, тогда и лайкать будет не стыдно.",еблан
я бы сказал так: надо гнать всех депутатов-идиотов!,"гнать, идиотов"
надейся и верь тупой россиянский пидарас ! это все что тебе осталось!,"тупой, пидарас"
"Они поддерживали свой народ, они же националисты, ты забыл, даун? Путина они не поддерживали.",даун
кто придумал-это мутатень....того накол надо посадить!!!,"мутатень, накол"
с которым через час расстанешься и будешь трахаться с другими?,"расстанешься, трахаться"
к своей башке представил бы пидор.,пидор
догавкаетесь до того что россия отвернётся и вас сожрут с потрахами.,"догавкаетесь, сожрут, потрахами"
и что это ? скажем так то что творится в россии просто пидор!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,пидор
мне все рано что ты как называешь) соска унитазная,соска унитазная
"дебилы, пэк. а не пек. фирсофу с филатовым позвоню, скажу, что такую херню пишите!","дебилы, херню"
падла за рулём ну да мы же забыли папина дочя за рулём им же всё можно....,падла
"уже не знают как привлечь к себе внимание, ебё....в опу,нам это зачем рассказывать и показывать","ебё, опу"
"речь идёт о поступке настоящих мужиков, про дебилов, речь не шла",дебилов
уровень 7139 редкий гад! всем тем кто до него дойдет желаю великой удачи-а тем кто его придумал-наоборот!,"гад, наоборот"
так этот акимат только себе в карман ложит бабки а для людей они нечего делать не будут хуилы ни дорог ни парка полная жопа гавноеды,"хуилы, жопа, гавноеды"
а что то не так.гнилой твой рот,гнилой
"эй, принц хуев! читай историю, своей страны внимательно, а не под кайфом!","хуев, под кайфом"
ефремов трусливое подлое мерзкое существо один негатив вызывает эта падлюга,"трусливое,подлое,мерзкое,падлюга"
ты чего людям пиздишь животное,"пиздишь, животное"
"такая группа о самарканде, и этих блядей рекламируете, вот зачем?????????",блядей
сколько говна было на меня вылито,говна
"потому что выродок тебе сказать нечего, сидишь шестерка не знаешь кому угодить выебок путинский.","выродок, шестерка, выебок"
