Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
про гулящих дівок і траву ще.,Medium,disparaging,informal and crude,negative,гулящих дівок
"Ви за пару годин і не згадаєте кому це писали, нащо цей цирк?",Medium,sarcastic,informal,dismissive,цирк
про ситуацію з плагіатом у журналі Vogue можу сказати: 2 глупі жінки,Medium,dismissive,informal and critical,negative,"глупі, жінки"
"імхо - жахливо. красіво, більш-менш непогана бойовка, загалом - жах",Medium,informal,opinionated and critical,negative,"жахливо, жах"
"Я не я, якщо не пошлю в баню",Medium,aggressive,informal and abrasive,hostile,пошлю
"Відчуття, ніби все тіло ногами били",Medium,emotional,expressive,negative,ногами били
"Краще так, ніж всякі",Low,neutral,informative,comparative,none
Я і щас навіщо здався?,Low,questioning,colloquial,confused,none
наш універ—бєспрєдєл.читай погану шеву і буде тобі щастя із розумінням,Medium,critical,colloquial,negative,"бєспрєдєл, погану"
"за тим самим платоном поетів та взагалі митців - нафiг з пляжа, вигнати за межі Держави Платона)",Medium,dismissive,informal and aggressive,negative,"нафiг, вигнати"
При мені такої нісенітниці б не було.,Medium,assertive,informal and dismissive,disapproving,нісенітниці
Що за расистський твіттер сьогодн,Medium,critical,colloquial,negative,расистський
Мау хай йдутьу куди подалі,Medium,confrontational,colloquial,dismissive,йдутьу куди подалі
Толстой воістіну великий фікрайтер,Low,praising,commendatory,positive,none
"А я що, а я собі така шикарна, ніколи не падаю духом.",Low,informal,personal and confident,positive,none
Навколо якісь діти і вони хочу напиватися і вони про це пишуть.,Low,informal,descriptive and neutral,casual,напиватися
+1RT не можна доторкнутися людей в маршрутці не можна,Low,neutral,informative,cautionary,доторкнутися
"Ох ці жінки, котрі всерйоз думають, що комусь не байдуже на все, що відбувається в їхньому житті.",Medium,condescending,informal and dismissive,irreverent,"жінки, байдуже"
Почуваю себе тупим :(,Low,informal,emotional,negative,тупим
"Та боже, дай мені вже вмерти.",Medium,desperate,emotional,hopeless,вмерти
Тріпати мозок - дуже погано.,Medium,abrasive,colloquial,negative,"тріпати мозок, погано"
ця штука й двигається,Low,informal,neutral,neutral,none
"Життя фігня, ми безмежно самотні, тому піду пекти піцу.",Medium,cynical,informal,negative,"фігня, самотні"
"Жах, я вчасно знайшов лігво тараканів у себе над ліжком?",Low,informational,neutral,concern,Жах
"городити дурницю про грамотність жахливо неграмотними і українською, і російською мовами: вишенька на тортику цієї феєрії",Medium,sarcastic,informal and critical,negative,"городити дурницю, жахливо неграмотними"
Через цей олх в мене вже починає підгорати,Medium,frustrated,colloquial,negative,підгорати
я що весь час телік носив з собою і робив казна-що?,Low,inquisitive,informal,confused,казна-що
"ні, це дає тобі право посилати їх",Medium,assertive,colloquial and somewhat confrontational,defensive,посилати
"в мене така пятая точка, шо їй і 3 торти не завадить",Low,informal,casual and humorous,positive,none
"Хочеш все встигнути? канєха даааа, проспи всьо нафіг:З",Medium,sarcastic,colloquial and informal,negative,нафіг
Краще так ніж твітити багато всякої непотрібної інформації,Low,informal,neutral and slightly critical,disapproving,непотрібної
"я теж не шарю, за що ціна така.",Low,informal,colloquial,confusion,не шарю
"не тут то було, Тернопіль Сіті, БАМ",Low,neutral,informative and neutral,casual,none
"Залякані люди, збайдужілі своїм страхом...",Medium,serious,descriptive,negative,"залякані, збайдужілі, страхом"
Нема онлайн,Low,neutral,informative,neutral,none
Нічого з неї нікуди не їде,Low,informal,neutral,frustration,none
"Ні, та на однокласниках залишалась)",Low,neutral,informative,casual,none
"Кінець катьонкуі, більше какати не буде.",Medium,informal,colloquial and sarcastic,disapproving,какати
"Боже, який же чудовий день Треба мені частіше вихідні брати",Low,enthusiastic,emotional and positive,joyful,none
Можна я перестану буть такою як я є ало мені має буть байдуже а чьото не байдуже,Low,desperate,emotional and informal,conflicted,"перестану (stop), байдуже (indifferent)"
Якщо шось не так то відкрий рота і скажи,Low,informal,directive,assertive,відкрий рота
Іноді ой як хочеться повиривати волосся всім цих жінкам легкої поведінки!,High,aggressive,informative and hostile,angry,"повиривати волосся, жінкам легкої поведінки"
"Та це був мокрий, снiг!",Low,neutral,informative,neutral,none
"Тому що ідіть звідси, ось чому.",Medium,assertive,imperative,dismissive,ідіть звідси
я більше не полечу нікуди!!!!!,Low,frustrated,informal and emotional,negative,none
Вміння дурити арт спільноту,Medium,informal,derogatory,negative,дурити (deceive)
"Буває, читаєш шось і думаєш про себе 'Ну що за нісенітниця?'",Low,casual,conversational and informal,mildly dismissive,нісенітниця
Моє побажання на 2014-ий: хай би всі погані люди залишились в 2013-му.,Medium,wishful,colloquial,negative,погані
"Ну та, i по зноситися було б непогано.",Low,casual,informal,slight frustration,зноситися
"Дякую всім, хто підтримував мене, але співбесіда пройшла погано",Low,neutral,informative and reflective,disappointed,погано
"Воно на стільки просте, що навіть я, яка давно відверто називає Фреймут поганою, не маю що сказати",Medium,candid,informative,negative,поганою
А при Януковичі ти так само робив?,Low,questioning,colloquial,critical,none
Їй випав Овен і мій папа овен.,Low,neutral,informative,casual,none
"Отримала нині міні-інфаркт, бо думала, що він мені дзеркало знесе.",Low,casual,informal and expressive,anxious,міні-інфаркт
"Завжди хотіла бути коханкою, а не дружиною, бо з ними просто злягаються і все.",Medium,informal,informative and candid,negative,злягаються
"Та навищо то всьо, всі боятся бути відповідальним і накатати ту заяву до ректора.",Medium,informal,colloquial and slightly confrontational,critical,"бояться, накатати"
"#6йсирник RT : - Та я, не из-за бабла.",Low,informal,conversational and neutral,defensive,бабла
"я чесно зізналась, що мені все одно, і канєшно ж через це тепер я просто безсердечна",Medium,candid,informal,dispassionate,"все одно, безсердечна"
"А ф-зми є різні - я за той, який цю парадигму відправить далеко",Low,assertive,colloquial,slightly critical,далеко
Мене той сімл бісить.,Low,angry,colloquial,negative,бісить
"Ааааа, ну для чого ставити це на порозі??????",Low,informal,conversational and inquisitive,frustration,none
І все це особисто до мене звернуте.,Low,direct,informative,neutral,none
чорт вибішує ця річ.,Medium,aggressive,colloquial,frustrated,"чорт, вибішує"
Точно не моi сусiди.,Low,neutral,informal,neutral,none
Треба було відео знімати,Low,assertive,neutral,suggestive,none
"Сьогодні у нас, челендж розбуди Юляну?!",Low,informal,conversational,playful,none
"щойно бачила дівчину в сукні і в чоботахне в'язаних, а звичайних, осінніх, чоботах",Low,neutral,informative,neutral,none
Яка була мати така ж і дочка,Medium,judgmental,colloquial,negative,було
"Люди, котрі юзають мільйон смайлів, без зайвих слів ідуть далеко",Low,informal,neutral,positive,none
"Напиши тій людині ''йди звідси''Порада Ендрю, на любі випадки життя",Medium,dismissive,directive,negative,йди звідси
Одна не добра людина зіпсувала мені рейтинг на роботі.,Low,mildly negative,informative,frustration,"не добра, зіпсувала"
В коридорі готелю вже годину голосно тараторять люди.,Low,neutral,informative,slightly annoyed,тараторять
так ми ж багато англ і рос читаєм. от і получається плутанина.,Low,informal,conversational and neutral,neutral,none
Не потрібні мені твоі дужки)))),Low,informal,dismissive,negative,Не потрібні
Антикорупціонєр – це коли продаєтся за гроші.,Medium,sarcastic,colloquial and critical,cynical,"продається, гроші"
"Заходжу я в твітор, а тут Лєщєнко каже.",Low,informal,casual and conversational,neutral,none
"Подзвонили всі возможні родичі, сусіди стукаюсь, щось таскають там , брат 100500 раз зайшов в кімнату",Low,frustrated,informal,annoyed,"стукаюсь, таскають, 100500 раз"
"Таке враження, шо в росії не вміють норм кохатися.",Medium,dismissive,colloquial,negative,"не вміють, норм кохатися"
"Щас роздінусь і піду голою, і всеодно.",Medium,provocative,colloquial,rebellious,none
Щоб то ще такого сказанути в стрічку?,Low,curious,colloquial,neutral,none
Я ж не поганаа якась,Low,defensive,informal,self-defensive,погана
Не дадуть людям спокійно розгону її бороти корупцію,Medium,accusatory,hostile and critical,frustration,"Не дадуть, бороти корупцію"
Коли я навчуся не витрачати час для сну на марно?,Low,reflective,casual,curious,none
вкради там рюмку для мене :D,Medium,informal,casual and suggestive,humorous,вкради
Ну і де ж то покращення,Low,neutral,colloquial,skeptical,none
I позбавляти субсидій/фіндопомоги від держави.,Medium,critical,assertive and neutral,disapproving,позбавляти
То це ясно і божевільним.,Medium,dismissive,colloquial and sarcastic,negative,божевільним
Мозок думає про цю несамітницю,Low,neutral,informative,casual,несамітницю
Тинка ходи на Jazz fest і вино післяЖінку свою веди.,Medium,condescending,informal,disapproving,веди
кексложно вамна мене просто завжди все одно було,Medium,dismissive,colloquial,indifferent,завжди все одно
"Які, вибори в умовах окупації",Low,questioning,formal,concern,окупації
