Sentence,Negative Connotations
尽管浪，谁接盘谁是狗，不得house,"浪, 狗"
对邻国的复仇情节，让日本饮鸩止渴，甚至让默代表日本人，打破了日本保持民族纯洁性的最后一点自尊打破了印象中日本对于默严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理,"复仇情节, 饮鸩止渴, 打破自尊, 神话泡沫, 怕邻国报复, 自我矮化心理"
重点是视频里还不是同一个默囧,默囧
建议仙女结婚前，男性一定要把怀胎十月分娩和坐月子的痛苦都体验一遍，这十个月一定要由她们照顾男性，以此作为她们生育时被男性对待的标准。,怀胎十月分娩和坐月子的痛苦
我有个发现，大部分反对同性恋的人很少有支持吃狗肉的，可能它们觉得一边反对同性恋一边支持吃狗肉显得很分裂。可我不同，我觉得同性恋很恶心，但支持吃狗肉。,"反对同性恋, 恶心"
只准异恋普信，不准同恋自大——二极管,"普信, 自大"
到时候好看的妹妹一个不剩，剩下的全是重型坦克,重型坦克
别尬黑，这是拳师日常化的高级妆,尬黑
在非洲孤独寂寞呗，母猪赛貂蝉,母猪赛貂蝉
普信女和拳畜是最下头的低等动物。,"普信女, 拳畜, 最下头, 低等动物"
你们基佬要人觉得你们基佬是有素质教养，你们基佬就应该阻止某个基佬让基佬们丢脸的事情否则就是同流合污,"基佬, 丢脸, 同流合污"
仙女在世界第一女拳国享有犯罪豁免权，二等男人就别叽叽歪歪了。女拳国怎么可能有公平的法律。,"犯罪豁免权, 二等男人, 叽叽歪歪, 女拳国, 公平的法律"
喷吧普遍男性反串带节奏，故意说一些反动的话让更多不知情的男生变成所谓男拳来无差别攻击全体女性,反动 无差别攻击
选择器喽，那些找泥搁的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代??可惜就是有人爱接盘??,智商水平 社会责任感 价值观 不配 接盘
捧杀操作起来比较容易，顺着她说就完事了,捧杀
你说得挺对，但也很废话。你看现在反嘿的哪个有权力？你有权力吗？现在就是真正有权力的还助邹为虐,废话 助邹为虐
妖怪，恶心死了,"妖怪, 恶心死了"
要是我周围朋友出现个和默交往的直接拉黑不用再见了??毕竟我怕哪天把我也拉下水,拉黑 不用再见 把我也拉下水
基佬对社会的贡献远不如一个长相不佳的直男工程师,"基佬, 不如"
恶心到家了！,恶心到家
前有慈禧的宁予蛮邦不予家奴，后有老猫的中国人没饭吃也得让越南，棒子，阿尔巴尼亚吃饱的友邦论，可谓上梁不正下梁歪，遗毒甚远,"蛮邦, 家奴, 没饭吃, 棒子, 上梁不正下梁歪, 遗毒甚远"
女拳就这？,女拳
女拳真是典中典?,女拳
老双标狗了,狗
直男最擅长的不就是双标吗??所以现在很多时候我已经懒得讲道理，看见nt直接骂就好了??,"直男, 双标, 懒得, 骂"
真要有那个手段和心理素质，也不会沦为非处。而且骗的是自己老公，枪往自己人身上打，也挺有意思的??,沦为非处 骗 枪往自己人身上打
可黒鬼智商确实不行啊??,黒鬼 确实不行
货拉拉司机无罪判一年，小仙女鲨人未遂判四个月,鲨人未遂
不打拳没必要如果是个拳师往4里喷,没必要
我恶心的是有些同性恋以为全世界都是同性恋，无底线的试探自己喜欢的同性，超级恶心！,恶心，无底线，超级恶心
他们找黑人媳妇纯属是觉得不要彩礼还能干，女性是奔着感情去的，大傻子??,大傻子
女拳***,女拳
真是搞不懂这种人怎么就那么想当默的配种母狗，活该,"搞不懂, 配种母狗, 活该"
姆蛆好恶心?,"蛆, 恶心"
确实如此 宁要小姐从良，不要媚外ez,"小姐从良, 媚外"
恐怕从这个尼从出生到现在都没洗过头吧！太恶心人了！光看到就反胃！这女的居然不嫌弃，看来是真爱了,"恐怕, 恶心, 反胃, 不嫌弃"
从小这个基佬就N待小动物，果然是变太,"基佬, 变太"
长得和个老鼠似的,老鼠
和平精英的网络公主也没这么女拳啊，鸡疯子还是比农批高一等级的,"女拳, 鸡疯子, 农批"
舔黑的人在增多，舔狗也在增多，国内有些女的快被舔到天上去了,舔黑 舔狗
舔狗给她整自信了,舔狗
我都要吐了真的很会玩,吐
黑命贵祸害原住民是事实,祸害
黑奴才们骂我是键盘侠的不就打算让我闭嘴吗？告诉你，老子就是键盘侠，就拿键盘恶心你了，怎么着吧，咬我啊,"黑奴才们, 骂, 恶心, 咬我"
小仙女得从小培养,
之前的反默老哥都转抖音了吗？半年没来一个都没了，吧不成气候，组织在哪里，我要加入组织。,"都没了, 不成气候"
找乌克兰的还好理解，找黑的真想不到在别人眼里他的下一代和国女生的黑孩没啥差别吗？????,"黑, 差别"
行行行，女的都是八婆，男的从不八卦，男的看娱乐新闻都会立刻去世，不死就是没有男子气概??普信男值得骄傲，值得赞扬，您满意了吗??,八婆 去世 没有男子气概 普信男
这玩意不是男同nt搞出来的吗,男同nt
这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！,"基佬, 染艾"
老外付1％的责任，锅女付99%责任呗，那老外1％责任在于自己掏钱买的机票，自己办的签证，而不是锅女帮他们买机票，办签证,"老外, 锅女"
对对对，都是小仙女，小仙女没有错，都是中国男人的错，中国男人应该灭绝！,灭绝
那些亩狗，纯纯畜生，这个词作为PUA男性的东西，解释权只能在小仙女手上。,"畜生, 亩狗"
不用谢，我也是为了自己利益着想w一是多一对幸福的基佬就少两个同妻，二是容不下LGBTQ的保守主义社会同样容不下hentai play。作为一个绅士魔法师，我觉得我的逻辑是完美自恰的ww,"基佬, 同妻, 保守主义社会容不下LGBTQ"
你可真厉害你的虫爹把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进国际鬼子虫类及其它们后代虫混的理由对于你这点居心叵测的小心思我早已看透,虫爹 毁了 鬼子 虫类 居心叵测
你那个性别要不要先改一下??女拳不都喜欢冒充男的说话吗??,冒充
"都是原干的,女拳跟原比起来算什么","干,女拳"
请各位新来的反同同志注意！,反同
微博的小仙女都在说求你们男性都清醒，放过我们吧。,放过我们
想想都后怕，幸亏当年放弃去飞州发展，没有迈出意识层，了解黑蛆事关生死！,黑蛆
把这帮孝子贤孙冲爆,冲爆
成天带妹的舔狗能不能死啊,"舔狗, 死"
这种东西都能照做的不知道是没脊椎还是没脑子，不怕一万就怕万一，万一老婆是个仙女....,"没脊椎, 没脑子"
你说对了，我就是歧视黑皮啊??,歧视
韦小宝他妈都不接洋鬼子,洋鬼子
xx来啦，吃香蕉，小矮子,小矮子
万一他就是黑黑了,黑黑
