Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
"Mich interessiert's weil ich es gut finde, dass es inmitten islamischen Barbarei wenigstens eine Demokratie gibt, in der ich meine sexuelle Orientierung ausleben kann ohne ins Gefängnis zu kommen.",High,offensive,biased and discriminatory,negative,islamischen Barbarei
Die Linken  gegen Patrioten und Rechte schlecht hin.,Medium,confrontational,divisive,antagonistic,schlecht
In Deutschland wird wieder hartes Klopapier eingeführt.. Damit auch die letzte Person Rot wird. #spd #linke,Medium,sarcastic,informal and critical,negative,"hartes Klopapier, Rot"
#cdu kapiert es nicht! Alle in europa ausser cdu von #merkel wollen keine #Asylbewerber. sichert die aussengrenze oder EU und merkel sind in Schwierigkeiten,High,aggressive,informative and emotional,negative,"kapiert es nicht, wollen keine #Asylbewerber, Schwierigkeiten"
Die Regierung alimentiert Menschen aus aller Welt & fördert #Islamisierung unsrer Heimat...mit unsren Steuern! abwählen! #AfD,High,aggressive,provocative and inflammatory,hostile,"alimentiert, Islamisierung, abwählen"
"Wer schützt uns vor den Krankheiten der Migrant:innen, werden die überhaupt untersucht? Aber erst mal zu uns lassen!!",High,alarmist,informative and aggressive,xenophobic,"Krankheiten, überhaupt untersucht, zu uns lassen"
Ik neem de vrijheid om anders te denken dan die leugenachtige beroepspolitici die hun zakken vullen 😜,Medium,sarcastic,informal and critical,disapproval,"leugenachtige, beroepspolitici, zakken vullen"
"dpa: 'Wie können wir uns vor Terror schützen?' Kann ich Euch sagen, Merkel und die gesamte Berliner Muschpoke im September abwählen 😜",Medium,sarcastic,colloquial and informal,critical,Muschpoke
"Bosbach hätte die Ditfurth aus dem Studio davonjagen. und ihr den Fächer wegnehmen sollen. Ja, so wäre das.",Medium,aggressive,informal,hostile,"davonjagen, wegnehmen"
"Die Schulden der Griechen soll der deutsche Steuerzahler übernehmen,. denkt Martin Schulz. Diese Person sollte lieber verschwinden",High,hostile,accusative and derogatory,negative,verschwinden
