Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
这儿也有不明智的通讯录出没，不过比起我之前呆的反同恋吧好多了,Medium,informal,opinionated and subjective,critical,"不明智, 反同恋"
没有任何一个单方面付出的卑微的人值得可怜,Medium,neutral,informative,dismissive,"卑微, 可怜"
这七个令我反感的人还非法人肉，线下发表极端性别言论，十有八九涉黑涉暴，只要主播有打算起诉，这七个失败者妥妥的进去,High,angry and accusatory,informative and hostile,judgmental and condemning,"反感, 非法, 极端, 涉黑涉暴, 失败者"
说实话，马丁路德金很伟大，他的梦想实现了，全世界的兄弟们都以人品来看待别人，以及黑人，想想什么人会77%没有父亲吧,Medium,mixed,informative and judgmental,derogatory,77%没有父亲
16楼是个男同性恋。,Low,neutral,informative,neutral,none
现在被这个男同性恋删了,High,derogatory,informal and pejorative,negative,男同性恋
让人不喜欢的女性不值得同情,High,critical,informative and negative,condescending,"不值得, 不喜欢"
这女的是不是没用的人啊？自己弄撒别人收拾烂摊子。,High,informal,derogatory and critical,negative,"没用, 烂摊子"
女性的事你少管,Medium,directive,informative and neutral,dismissive,少管
让这位令我反感的女性付出代价,High,hostile,commanding and aggressive,vindictive,"反感, 付出代价"
长的一张不符合我审美的脸,Medium,informal,opinionated and subjective,negative,"不符合, 审美"
黑人如果多了，闹分裂了，无条件包容他人的人们担的起这个责任吗？,High,accusatory,opinionated and provocative,negative,"黑人, 闹分裂"
同性恋能不能离开不喜欢同性恋的吧，你们没有自己的吧吗？,High,discriminatory,informal and hostile,dismissive,"离开, 不喜欢"
放在没有极端女权主义的时代我们可以让她付出一定代价,Medium,judgmental,assertive,condescending,"极端女权主义, 代价"
你这帖子一发，我就想到鸡你太美。我们说他长得不好看你们又不同意。,Medium,informal,conversational and slightly critical,mocking,"鸡你太美 (suggesting ridicule), 长得不好看 (suggesting someone is not good looking)"
吧务和几个等级高的都是一类让我不满的人，整天高强度巡逻删评，很擅长以双重标准看待事物,Medium,critical,informative and negative,dissatisfaction,"不满, 高强度, 双重标准"
