Sentence,Negative Connotations
#LandderVollidioten #geisteskrank - 'Kampf gg #Trump' (gg #Putin sowieso) Deutsches #Regime im Größenwahn ....,"Vollidioten, geisteskrank, Regime, Größenwahn"
#Lindner steckt heute Abend schon seinen Kopf in den Arsch von #Merkel widerlich #FDP,"Arsch, widerlich"
Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Dummgelaber der Pest (Merkel) und Cholera (Schulz) nicht mehr hören!,"Dummgelaber, Pest, Cholera"
"ich glaube nicht, das die Mehrheit der Bevölkerung dumm ist oder kommen nur Dumme zu Ihren Auftritten ?","dumm, Dumme"
Wer will ein Hering So Dumm wie die Göring🤯,dumm
Und N24 geht mir auch aufs Arschloch heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!,"Arschloch, unehrlich"
Die Hetzer der ÖR Medien haben wieder Hochkonjunktur dieses ganze Schweinejournalisten Pack gehört entsorgt und dass schnellstmöglich. AFD,"Hetzer, Schweinejournalisten, Pack, entsorgt"
Verdammt die Olle Merkel tritt wieder an !!!,"Verdammt, Olle"
Der Fettsack soll mal besser den Kopf zu machen.,Fettsack
"RAUS MIT DIESEN IRREN AUS DEM BUNDESTAG, sollen ihre Konfettischwulenparaden woanders feiern, am besten in Türkei bei Özdingens !","IRREN, Konfettischwulenparaden"
dieser Holtmann scheint ein Grüner-Bastard zu sein! #BerichtAusBerlin,Bastard
"Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Dünnpfiff im 'Merkel-Propagandaschrott' ???😜","geistigen Dünnpfiff, Merkel-Propagandaschrott"
"Na die Alte fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮","Alte, durchsuchen, erwischt, 🤮"
auch heute wieder nur drittklassige #Laiendarsteller in einem extrem beschissenen #Tatort #ARD,"drittklassige, beschissenen"
#Grüne und #FDP kriechen #Merkel doch jetzt schon in den Arsch damit sie nur schnell an die Macht kommen #CDU,"kriechen, Arsch"
Jetzt melden sich die Vasallen Merkels!,Vasallen
"Nö, der sieht dumm aus. 😾",dumm
warum lädt man eine derart strunzdumme Frau #Demirkan bei #Maischberger ein #ARD,strunzdumme
"Sagt mal, kommt es nur mir so vor, oder ist das Staasfunk Fernsehprogramm wirklich so scheiße?",scheiße
"Mannheim, weltoffen und kunterbunt. Und strunzdumme Multikultiliebhaber. Verblödete halt","strunzdumme, verblödete"
#Sexuallkunde für #Flüchtlinge und #Migranten ... #Mama #Merkel bringt #Asylanten das ficken bei ... #Vergewaltigungen funktionieren bereits,"ficken, Vergewaltigungen"
"Ja schnell alle Bäume weg, 5G Handys kaufen und Bürgermeister den Sack lutschen du kleine Profesora","den Sack lutschen, du kleine Profesora"
"UND DER DUSSELIGE GAUCK DENKT ER WÄRE WIEDER IN DER DDR UND LÄßT SICH HONECKERmäßig ALIMENTIEREN, GUTEN MORGEN-DEUTSCHLAND-??",DUSSELIGE
