Sentence,Toxicity Level,Tone,Language,Implied Sentiment
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.,High,Condescending,Insulting,Hostile
ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من المجوس,Medium,Aggressive,Confrontational,Antagonistic
ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو زنجي كسرها بنقول له اللحم والعظم لا تبقي لنا شي,High,Disparaging,Aggressive and Offensive,Contemptuous
هؤلاء هم جزء من فئة المسلمين الذين هم إرهابيون متطرفون.,High,Accusatory,Negative labeling,Prejudiced
كييف بلنتي ذي يلعن امك ياحكمم,High,Aggressive,Insulting and Vulgar,Hostile
تخيل تقطع وريدك في بانيو الحمام عشان سوسو قالت عليك يا دبة وهههههههه,High,Insulting,Aggressive and Disrespectful,Derogatory
لا يوجد زعيم بالعالم يستخف بالشعوب العربيه مثل اردوغان. ياقردغان بدلاً من ان تسحب سفيرك بالامارات لماذا لاتسحب سفير…,High,Aggressive,Insulting and Provocative,Hostile
صدقا، الثرثرة تبدو غبية حقا.,Low,Disapproving,Straightforward,Negative
إن إعادة إجراء هذا الاختبار ومحاولة اجتياز الأفكار يعني أن أي أحمق أبله يمكنه الحصول على أوراق اعتماد لأي مهنة في أي وقت.,High,"Insulting, Condescending","Sarcastic, Offensive",Disdainful
ضاعت فلوسك يا دبه ببلاش,High,Insulting,Confrontational,Aggressive
عمكم ترامب يلي ضربه يا خولات و ليس انتم 🤣 🤣,High,Insulting,Vulgar and Offensive,Derogatory
الله يلعن كس ام سخافتكم ي شراميط انفجار دمر نص بيروت سبب ضحايا و مفقودين تجون تسوون عليه نكت سافله مثلكم ؟ لكم مقا,High,Aggressive,Vulgar and Offensive,Angry
طيب لحجيه ليش ضايفني عندك,Medium,Confrontational,Informal,Aggressive
أنت مختل عقليا؟,High,Accusatory,Insulting and derogatory,Hostile
قردوغان عاوز يحط رجله في منطقه بتاعتنا اللي اكتشفناه في البحر الابيض المتوسط بأي طريقة بس حب يجرب القوة لقى جيشنا…,High,Aggressive,Derogatory and Threatening,Angry
اللي بيقول انت ليه مركز في كلام الناس ، يلعن ابوك ، انت متعرفش حاجة شوفت الحتة دي 😂,High,Insulting,Aggressive and Disrespectful,Angry
