Sentence,Toxicity Level,Tone,Language,Implied Sentiment
"Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...",Medium,Defiant,Vulgar,Frustrated
"Ахахах, єбать, добре, шо не поступав туди#КНЕУ_топчік",Medium,Joking,Casual and Profane,Humorous
"Все одно він мудак, бо не пише)",Low,Sarcastic,Informal,Disapproval
Тому доводиться вмикати режим хитрожопість.,Low,Neutral,Formal,Neutral
"От нахуя мене зайобувати з самого ранку, а???",High,Aggressive,Vulgar and Offensive,Angry
"бляха, як же мені прикро, що все так ;(",Low,Sad,Mildly Emotional,Sorrowful
Хороші спогади - це та ще хуйня.,High,Disparaging,Vulgar,Negative
Бо вам то не подобається.та блять.,Medium,Defensive,Casual and Profane,Aggressive
Кольорова печать на звичайному папері 10 гривень блятьІдіть нахуй,High,Aggressive,Vulgar and Offensive,Hostile
"І головне ж перша заговорила, а я...лох...",Medium,Disregard,Casual and Insulting,Disrespectful
Ідіть нахуй зі своїми блядськими стереотипами.,High,Aggressive,Vulgar and Insulting,Hostile
"Очевидно, бог чистоти приготував, щоб пиздити мене, бо не прибираю.",High,Accusatory,Vulgar and offensive,Angry
НєБо у вас хуйовий гуртожиток,High,Insulting,Vulgar and Offensive,Derogatory
"Кидайте цю милоту будь якому руснявому гівну, що почне патякати за те як на Сколєнії жить харашо.",High,Derogatory,Insulting and Demeaning,Contemptuous
Подруга прийшла пиздіти зі своїм мудаком до мене в кімнату.,High,Derogatory,Vulgar and Offensive,Negative
"Є частинка щастя в хорі народу на концерті Жадана і Собак, який співає:Чотири роки сука без Кобзона!",Low,Playful,Casual,Positive
Всі збиратимутися та дрочитимуть на твої фоточки.,High,Sexual Harassment,Inappropriate and Objectifying,Aggressive
"Бандіти, написав в бложик, про те як мусарку вогнеметами озброїли.",Low,Informative,Neutral,Neutral
Нахара ти включила бізнес аккаунт в інста якщо ти школоло і тебе фоловлять тільки твої однокласники блять..,High,Disrespectful,Vulgar and Insulting,Derogatory
Так хочеться простого людського щоб до крові відпиздили по дупі.,High,Violent,Vulgar and Aggressive,Angry
каре і срібло у хуйовій якості,High,Derogatory,Vulgar,Disdainful
"ба-ссуха, блять. там одна с, дятел",Medium,Derogatory,Informal and Vulgar,Disrespectful
"обколються своєю марихуаною, а потім всяку хуйню роблять наркотики - зло",High,Critical,Vulgar and judgemental,Negative
Коли ти дуже жостко підйобуєш Настю,High,Aggressive,Insulting and Demeaning,Hostile
Дуже хочу написати щось дуже розумне  але хуй його знає що...,Medium,Casual/Informal,Mildly Offensive,Frustration
Ну чьо Михасику не отримаєш ти того що ти блядь хочеш...,High,Aggressive,Vulgar and Insulting,Hostile
- Ти бухаєш водяру і забиваєш на все болт!,High,Accusatory,Insulting and Demeaning,Contemptuous
"Він потім думає, ну і в пизду не дуже то і хотілось їсти.",High,Disrespectful,Vulgar and Offensive,Negative
Українська термінологія - це піздєц.,High,Disrespectful,Vulgar and Offensive,Negative
"І бля, їхала сюди - то мала роботу.",Low,Casual,Informal,Frustrated
"Хочу постити депресивну хуйню в інст, але там забагато знайомих",Medium,Negative,Informal and Vulgar,Discontent
не лишайте пухнастих мудаків наодинці зі шкарпетками,High,Commanding,Derogatory and Insulting,Contemptuous
"ДаЗнав одну, їбанутішої людини не бачив",Medium,Critical,Vulgar,Negative
"Чоловіки, хлопці - яйця, блять, в руки і до Києва!",High,Aggressive,Vulgar and Offensive,Contemptuous
"В коментарях автор пояснює, що їздив дивитися, як тубільці пиздяться між собою, про “both sides” і “more neutral approach”, охуєнно",High,Disrespectful,Vulgar and Offensive,Aggressive
"Воно нас, блядь, ні до чого не готувало.",High,Aggressive,Offensive and Vulgar,Angry
"Люди кажуть, що всім похуй на них.",Medium,Disrespectful,Vulgar,Negative
