Sentence,Toxicity Level,Tone,Language,Implied Sentiment
во дебил ты пан-баран))))))))))))))))))). еврейское тв пересмотрел даун???)))),High,Insulting and Derogatory,Vulgar and Offensive,Aggressive
завтра в хабаровске вдвшники будут разгонять быдло,High,Condescending,Derogatory,Contemptuous
"эта походу старое фото,в середине хряк телепузик мэр орши лисовский.редкая скотина.",Low,Neutral,Casual,Neutral
а что рядом других что мужиков рядом не оказалось??? кто этому ублюдку табло начистил!!?????1 вывод????? мужики к сожалению перевелись .............,High,Aggressive,Vulgar and Offensive,Contemptuous
"хули вы бляди клянчите классы ,просто помните.",High,Aggressive,Vulgar and Offensive,Contemptuous
веселись сегодня ептить удручённый ты наш:-d,High,Sarcastic,Vulgar and Disrespectful,Hostile
твари награждают себя. кто пойдет за них воевать. сам и путин.,Medium,Contemptuous,Sarcastic,Critical
"мразота,больше ни хуя делать не умеют,кроме как обижать слабых и беззащитных",High,Insulting,Vulgar and Aggressive,Malicious
таких тварей только могила исправит.,Medium,Dismissive,Harsh and derogatory,Contemptuous
"садисты. таких родителей необходимо найти и наказать, однозначно.",High,Harsh and Judgmental,Accusatory,Angry
"Пруфы засирания тредов , к примеру",Low,Neutral,Formal,Neutral
стоит ли уделять внимание каждому пидарасу,High,Dismissive,Insulting and Offensive,Contemptuous
мишустик ты бы пасть свою поганую закрыл,High,Derogatory,Insulting and Offensive,Hostile
вы что хотите что бы ваши дети в будущем в дерьме жили?,High,Accusatory,Confrontational,Hostile
этих уродов надо всех сократить.,High,Dehumanizing,Aggressive and Offensive,Hateful
"точно,сука урод, и это мягко сказано,уже в каждую спортивную передачу лезет,приходится искать каналы и репортажи без его рожи и участия !",High,Aggressive,Vulgar and Offensive,Negative
"Вы же за полный разрыв отношений с ахрессором, тогда нахуй вы хотите транзита?",High,Aggressive,Vulgar and Confrontational,Hostile
так хоть кто то по обочине бы ехал.а так все как дебилы встали...дальнобои порою ахуевают...,High,Disrespectful,Casual and offensive,Contemptuous
"курва галичанская , приехала в одессу со своим уставом !",High,Derogatory,Aggressive and Offensive,Negative
Там написано он попросил и убедился тупица ты значит они повернулись уже,Low,Neutral,Casual,Informative
дурдом ромашка..нету на сегоднейший день нормальных мужчин ....то гейтр пидораз то урод вот такой ..,High,Derogatory,Insulting and Discriminatory,Negative
"ебливая группа одна реклама, пидлры продажные..",High,Derogatory,Vulgar and Insulting,Hostile
