Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
"Хорошая девочка. Как несколько нормальных женщин с утра повидаете, так по другому рассуждать начнёте.",Medium,condescending,informal and judgmental,patronizing,"нормальных женщин, по другому рассуждать"
Только тебя именно там не хватало,Medium,sarcastic,informal,dismissive,не хватало
Ещё бы крест поставила,Medium,sarcastic,informal and sarcastic,negative,none
"Да мне все равно, кто вам что позволяет",Low,informal,dismissive,neutral,none
Вижу этого бритого - ставлю минус. Чего и всем здравомыслящим людям желаю,Medium,dismissive,colloquial and informal,negative,"бритого, минус"
"И наверное написав такую ерунду, ещё и гордый ходит",Medium,sarcastic,colloquial and critical,disdainful,ерунду
тебе не все равно,Low,neutral,informative,neutral,none
С чего тебе смешно!?,Medium,aggressive,conversational,challenging,смешно
каска нужна для людей...сами понимаете для каких...,Medium,ambiguous,informal and suggestive,dismissive,none
Так ты чьих будешь?,Low,inquisitive,colloquial,neutral,none
сперва прочитайте где я отвечал где писал а потом ставьте микрофон администрация блин,Medium,frustrated,direct and informal,annoyed,блин
"Да убирайте эту женщину с сайта, надоела, когда она только покинет салон этого автомобиля",High,hostile,colloquial and aggressive,frustration,"убирайте, надоела, покинет"
"Так глупых людей в поля надо, надоели уже",Medium,frustrated,informal and derogatory,resentful,"глупых, надоели"
"Президента ругаете, а выплат ждёте",Medium,critical,informative,disapproving,ругаете
"Да там даже по очереди не нужно, один бы улетел в нокаут, остальные бы убежали.",Medium,informal and aggressive,colloquial and combative,violent,"нокаут, убежали"
Какой человек придумал такие задачи!,Low,surprised,informal,frustration,none
"Ты пишешь фи, наоборот-красота",Low,informal,conversational,playful,фи
да отстаньте со своим вирусом,Medium,dismissive,conversational and informal,frustrated,"отстаньте, вирусом"
"Города волнуются, а вы держитесь за одного. Людей недовольных миллионы, а вы тут несёте чушь",Medium,critical,colloquial and confrontational,frustrated,несёте чушь
"Я всегда с клепками беру , чтобы не заморачиваться и никуда не ездить",Low,informal,casual,convenience,none
убил человека и в данный момент отрицает свою вину,High,serious,accusatory,negative,"убил, отрицает"
У пеня это регулярно в рекомендуемых вылезала,Low,informal,colloquial,neutral,none
"Это вам нужно уезжать из Питера, и быстро.",Medium,forceful,directive,urgent,"уезжать, быстро"
А он все не успокаивается.,Low,informal,casual,frustration,не успокаивается
Нужно Россию присоединить к Белорусии лучше бы было,Medium,provocative,informative and biased,nationalistic,none
Посадить бы его на 12 тысяч и посмотреть как бы себя тогда повёл,Medium,confrontational,derogatory and aggressive,hostile,посадить
Если люди эти маски брюликами украшают да по сто пятьдесят покупают можно и по пятьдесят продавать,Low,informal,conversational and critical,sarcastic,none
"а может быть, тебя, вместе с такими как ты, просто игнорировать?",High,sarcastic,dismissive,disrespectful,игнорировать
И бонус реклама Яндекс доставки,Low,neutral,informative,positive,none
и почему уася так слезно выпрашивает?,Medium,sarcastic,informal and dismissive,irritation,"уся, слезно, выпрашивает"
