Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
ይሄ ሰውዬ ምንም የወታደር ስነምግባር የሌለው ይሳቅልኛል እያለ ህዝቡን የማይመጥን ቀልድ በመናገር አጀንዳ ለማስቀየር ይሞክራል። ምነው በሱዳን ጉዳይ ላይ ሲሆን ግን ምንም አላልክም,Medium,critical and accusatory,disparaging and informal,negative,"ምንም የወታደር ስነምግባር የሌለው, ይሳቅልኛል, የማይመጥን, ቀልድ, ይሞክራል"
አንቺም ዜሮ ዜሮ በሚለው ዘፈን ይታወቃል ። አፈጣጠሩ ና አስተሳሰቡ ከሰው ለየት ያለ ነው፡ ሰለሞን ቅንድቡ በመባል ይታወቃል??,Medium,informal,conversational and opinionated,judgmental,"ዜሮ, ዜሮ"
እስከዛሬ የት ነበርክ ለአራተኛ ዙር የሰው ህይወት ሲጠፋ? አሁን የቤተክርስቲያን አባቶች ውሳኔላይ ሲደርሱ የእነሱን አቋም ለማስቀየር ነው? የንጹኃን እንባ የሚሰማ,Medium,critical,accusatory and concerned,negative,"አቋም, ሕይወት ሲጠፋ, የንጹኃን እንባ"
ትናንት እንኳን ሃገር ለመምራት ቤተሰቤንም ከአደጋ ለመታደግ የምችልበት ቁመና ላይ አልነበርኩም ስትለን እሺ ይሁን ብለን ተቀበልንህ ዛሬስ ምንድን ነ,Medium,confrontational,questioning and slightly accusatory,skeptical,"አደጋ, ቁመና"
ስራችሁም ንግራችሁም ጥሩ ነገርን ጥሩ ነገርን እያሳየ አይደለም,Low,critical,informative and critical,disapproving,አይደለም
አስተሳሰባችው የሆነ ትክክል ያልሆነ ነገር እንዳለ ያሳያል,Low,formal,neutral and objective,critical,ትክክል ያልሆነ
ነገሩን የባልና ሚስት ችግር አስመሰልከው እኮ,Medium,informal,conversational and judgmental,critical,ችግር
ለራሱዋ ያላት ግምት ከፍ ያለ ነው፡፡,Medium,critical,informative,disapproving,ግምት
ይኸ የተቀናቃኝነት ጥያቄ ከመሆን ይልቅ ነገሮችን ወደአንድ በኩል የመውሰድ ጉዳይ ይመስላል፡፡,Low,formal,analytic and neutral,objective,none
ከእድሜ ይፍታህ ፍርድ ነፃ ያወጡትን በደንብ እያመሰገነ መኖር ሲገባው ሌላ ጉዳይ ውስጥ ገባ,Low,formal,neutral,objective,none
ለሀገሩ የማይታመን የ ሀገር ፍቅር እንዲኖረው አይጠበቅም,Medium,accusatory,assertive and opinionated,critical,የማይታመን
የንጹሀን ደም በከንቱ ሲፈስ  ተገቢውን እርምጃ አለመውሰድ ዞሮ ኋላ ለራስ እዳ ማቆየት ነው የሚሆነው,Medium,cautionary,formal and critical,warning,"ንጹሀን ደም, እዳ"
