Sentence,Negative Connotations
ገልቱዬ ስንቴ ነው ሚሞቱት ግን? መሞታቸውን የዛሬ ወርም አርድተኘን ነበር ??,"ሚሞቱት,መሞታቸውን"
የምን አባትህ አድዋ ነው የምትዘክረው አንተ አጋስስ ሰይጣን የአድዋን ህዝብ በባዕድ እያስጨፈጨፍክ ስለአድዋ መጨፈር ከአሁን ጀምሮ አድዋ_ትግራይ_ናት። ት,"አንተ, አጋስስ, ሰይጣን, በባዕድ, እያስጨፈጨፍክ, መጨፈር"
ጀዛብ ስውር ኣእምሮ ፎእ እኔ ምልክ ግን ኣንተ የ7ፍንጃል የጠንቛይ ልጅ እጅህን ከትግራይ ህዝብ አንሳ ኣንተ ዲቃላ የኣብነ ሻርዕ ጅላክ እሽኣላህ እግዚኣብሔር ይድፋክ,"ጀዛብ, ፎእ, ትግራይ ህዝብ, ዲቃላ, ሻርዕ, ጅላክ"
ኣንተ ተላላኪ ዉሸታም ሁሉም ነገር ለዓለም ገና እናሳዉቃለን ዉሸታም ከሃዲ,"ተላላኪ,ዉሸታም"
ብዙም አትፈንጥዝ ጋሽ ሄኖክን በሀሣብ ሞግተው የዛሬ አስፈራሪ የነገ ፈሪ ይሆናል,"አትፈንጥዝ, ሀሣብ, አስፈራሪ, ፈሪ"
ደደብ ለምን አንተ አትሞትም ለኢትዮጽያ አንድነት ከሆነ አሽቃባጭ ሰለዚህ በአንተ አስተሳስብ ገና መሞት አለበት ድንጋይ ራስ መጀመርያ ሰው ሁን,"ደደብ, አሽቃባጭ, ድንጋይ ራስ"
እውነት ካለህ እኮ ምንም ኣግዙኝ እርዱኝ ማለት አያስፈልግም:: እዉነት ራሱ ይመሰክራል እና ነው:: ለእንዳንተ ዉሸት ቀለቡ ግን ዕዉነትም ሲነግሩት ኣይዋጥለጥም,"ዉሸት, ኣይዋጥለጥም"
ሃሃሃሃሃ.አይዱ ዲሉዥናል ይሉናል። የዲሉዢኑ ባለቤት ማን እንደሆነ በማያዳግም ሁኔታ ለመመስከር ከዘመን በላይ ማንን ምስክር እንጥራ እንግዲህ? ማየት ነው። :,ዲሉዥናል
አንተ ውታፍ ነቃይ የትላንቱን ዲቤት አየህው አንገትን የሚያስደፋ እንዳንተ አይነቱን በቁሙ የሚቀብር ነው ከአብን ጋር ወደፊት ደደብ ዲቃላ,"ውታፍ, ነቃይ, የሚያስደፋ, ደደብ, ዲቃላ"
ከማነው አሁን ሚታገለው? ከወንድሙ? ወጣ ብሎ ጠላት አጥቅቶ ያቃል? መንደር ውስጥ ማንን ለማጥቃት? ቱልቱላ ብቻ,"ጠላት, አጥቅቶ, ማጥቃት"
ወሬኛ በለው ባክህ አሁን ነው ይሄ የሚታየው ግደል ተጋደል ሲል ከርሞ:: መገለባበጥማ ይችሉበታል,"ወሬኛ,ግደል,ተጋደል,መገለባበጥ"
በመጀመሪያ ወንደኛ አዳሬ የሚባል ቃል የለም ሲቀጥል ደግሞ በጣም የቅናት አስመሰለብህ ያጣ ለማኝ ተሳድቦ ይሄዳል አለ ያገሬ ሰው ።,"የቅናት, ያጣ ለማኝ"
አንቺ ደደብ ስለ ሃገርሽ የምታስቢ ከሆነ ወሬሽን ከምትነፊ አንድ የዳቦ ለተራበው የትግራይ ምስኪኑ ህዝብ ብትረጅው ይሻላል,"ደደብ, ወሬሽን, ምስኪኑ"
መፅሀፍ ማለት አንቺ ተጋድመሽ እንዳሮጌ እርግብ አልጋላይ የምታጎላጂጂበት ማለት ሳይሆን እንደ ትጉህ ንብ በንቃት እወቀት የሚመጠጥበት ነው።,"ተጋድመሽ, እንዳሮጌ እርግብ, አልጋላይ, የምታጎላጂጂበት"
አንቺ ምነው እንዲህ ቅጥል አልሽ የሰው ድምጽ ለማፈን ብለሽ ነው ደደብ ሂጅይ እዛ የህወሀት ቡችላ።,"ቅጥል, ደደብ, ቡችላ"
እኔ አልተረዳሁም ምንድነው የምትቀባጥረው? ማን አንተን የብዙሀኑ ህዝብ ተወካይ አደረገህ? ወሬኛ ብሄርተኛ በቃ ዘራፍ ለማለት ትንቀዠቀዣላችሁ.,"ወሬኛ,ብሄርተኛ"
ምን እገባሽ እዚያው የአረብ ባርነትሽ ይቀብርሻል ባንዳን ተጠቅመው ነው የሚቀብሩት ይሆም እውነት የማይቀር ነው::,"ባርነትሽ,እውነት የማይቀር"
PMOEthiopia የህዝብን ደህንነት የማይጠብቅ ውሻ ነው,ውሻ
አሁን እስክንድር እና ልደቱ አብረው ለንፅፅር ሚቀርቡ ናቸው? በጨለማው ዘመን አስፈሪውን ወያኔ በብእር ያንበረከከ ያውም አፍንጫቸው ስር ልደቱ ወያኔ ተደምስሶ እንደራደ,"ጨለማ, አስፈሪ"
በንጹሃን ደም መቀለድ ውጤቱ መጥፋት ነው። የክፋት ጥጉ መጥፋት ነው። ንጹሃን እንዲታረዱ ያደረግኸው ሴራ ጠልፎ ሊጥልህ እደጅህ ቆሟል።,"መቀለድ,ውጤቱ መጥፋት,የክፋት,ጠልፎ ሊጥል"
አንተ ነህ እንጂ ዲቃላ እሱስ አህመድ አሊ ሚባል አባት ነበረው በነገራችን ላይ እጅና እግራቹ አጥሯል አሁን የቀረው አልሞት ያለው ምላሳቹ ነ,"ዲቃላ,አጥሯል,ምላሳቹ"
አንድ ደንቆሮ ሂስቶሪያን ነኝ የሚል የኢዲያሚን ወዳጅ ሸገር ላይ እንደዚህ ሲተረተር ነበር። ሦስት የጉሙዝ ቀስት በአንገትህ ይሰካ ብዬ ተራግምያለሁ።,"ደንቆሮ, ተራግምያለሁ"
ወንጀሎች እንደልባቸው የሚፈነጩባት አገር ማየት ኣንፈልግም መንግሥት አደብ ያስገዛልን ነው ያልከው ??? ኢትዮጵያ ውስጥ ከአብይ በላይ ወንጀለኛ የለም,"ወንጀሎች, ወንጀለኛ, አደብ"
