Sentence,Negative Connotations
जेहादी सूअर आस मोहम्मद को गिरफ्तार किया गया,जेहादी सूअर
मैच फिनिश कर देना चाहिए    गांड पे हाथ रख कर बैठ नहीं जाना चाहिए,गांड
देख भड़वा कलूटे इसपे तेरा मूत वाला मुह नही खुलेगा,"भड़वा, कलूटे, मूत वाला मुह"
दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे,"तोड़ फोड़, मौत"
ममता_बनर्जी ने तड़ीपार_गैंडे शाह को औकात पे ला दिया,तड़ीपार_गैंडे
देखिए आज की रिपोर्ट अमीश भड़वा से,भड़वा
यही एक आखरी रास्ता हो सकता है बाकी सूअर की औलाद किसी की नहीं होगी |,सूअर की औलाद
चुप मादरचोद मेरी बाइक तुमने तोड़ी,मादरचोद
अबे कुत्तों के पिल्लो जब बिहार में बच्चे मर रहे थे तो तुम सूआर बन कर गू खा रहे थे?,"अबे, कुत्तों, पिल्लो, सूआर, गू"
मोदी सूअर का पीला भी तो चुप है,"सूअर, पीला"
अगर नुकसान नही है तो फिर तुम भड़वों की तरह रंडी रोना क्यों रो रहे हो?,"भड़वों, रंडी"
मादरचोद दिल्ली सरकार की स्कूल की चर्चा करते हुए उस मुद्दे पर टिक नही पाया,मादरचोद
मादरचोद उधर नेटवर्क का प्रॉब्लम है तो गांड मराने सिम कार्ड इश्यू करते हो उस एरिया में?,"मादरचोद, गांड मराने"
साले की शक्ल ही सूअर जैसी लग रही है। जैसा काम वैसी शक्ल।,"साले, सूअर"
समस्या तुम जैसे मादरचोद ढोंगी पुजारी है।,"मादरचोद, ढोंगी"
रंडि के पैदाइस कुछ नहि बोलेगे ?,रंडि
इस मधरजात को इतना मारो की दुबारा खुद की बहन को भी देखने मे इसके पसीने छुटे हरामी साला।,"मधरजात, मारो, हरामी साला"
इन सालों की गांड पर लात मार के बाहर कर देना चाहिए मादरचोद रास्ता जाम किये बैठा है,"सालों, गांड, मादरचोद"
चला है लोडा एक्सपर्ट बनने...,लोडा
"भड्वा, तल्वे चातु, कुत्ते से भी बडा कुत्ता देखना हो तो तुजे देख लेना चाहिये","भड्वा, कुत्ते, कुत्ता"
"कभी तो अपने कॉम की गंदगी को साफ करो, हलाला, तहर्रूष, मुताह",गंदगी
इस सुअर के बच्चे ने बहुत ही आपत्ती जनक भाषा का इस्तमाल किया है।,"सुअर, आपत्ती जनक"
सुवर कहि के इनकी भी बहन बेटियो के साथ नहीं होंना चाहिए यह सब,"सुवर, बहन बेटियो"
तुम लोग सालों नंगे कर के मारे जाओगे सुवर की औलाद,"सालों, नंगे, मारे जाओगे, सुवर की औलाद"
"अगर ये भडवा गिरी है तो जो जसोदाबेन के साथ हो रहा है वो दलाली, भडवा गिरी और अन्याय तीनों है जो आपके यहां हो रहा है","भडवा, दलाली, अन्याय"
भोसडी बालो तुम ही अपनी बहनो को भेजते हो चुदबाने इन लिव-इन रिलेशनशिप के नाम पर,"भोसडी, चुदबाने"
सूअर के पिछवाड़े मे और बाथरुम मे अपनी बेटी को ढूंढ रहा है,"सूअर, पिछवाड़े"
काहे के प्रोफेशनल बे भड़वा गिरी और दलाली के ?,"भड़वा, दलाली"
और ये रोहित ने घुसेड़ा पहला छक्का गांड में..,"गांड, घुसेड़ा"
