Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
شوف نفسها بس اللي بالمقطع سمينة شوي,Medium,casual,informative and slightly critical,judgmental,سمينة
حسبي الله على من قتل نفس بغير حق في العالم كله,Medium,condemnatory,accusatory,negative,قتل
من يشاهد يعلم انه أمام اعاجم ألسناً وعقولاً ، ومن يسمع مقولاتهم يدرك ان دينا الإيرانيين…,Medium,disparaging,critical,negative,اعاجم
مدري مين يقتل طفل وحده عشان ما بدالته الحب,High,violent,aggressive,hatred,"يقتل, طفل, وحده"
أقاتِلُ في ساحةِ المعركة وحدِي، أنا الجيشُ لـ نفسي، وأنا السيفُ ذاته.💔 والله ما ألوم ميسي مدام معه مدرب ساذج ولاع…,Low,dramatic,expressive and critical,frustrated,ساذج
طيب هذه صفة فيك يعني مثل ما أقول,Low,informal,descriptive,neutral,none
انهم يحاولون اخافتك في كل مرة تسمع اسمهم,Medium,aggressive,accusatory,negative,يحاولون اخافتك
اقسم بالله الهلال ما عمره بيتعلم تطقطق عند المرمى,Medium,critical,colloquial and negative,frustration,"ما عمره بيتعلم, تطقطق"
اصلا ساذج اذا يبقى بعد هاي الكارثة .,Medium,disparaging,informative and derogatory,negative,"ساذج, كارثة"
الله يسعدك شوفي الواتس,Low,polite,informative and neutral,casual,none
ما استغربت لمن عرفت ان الي مسوي المقطع فلسطيني لأن واضح فيه الحقد والحسد والدلاخة وبعده عن الدين وم…,High,derogatory,accusatory and prejudiced,negative,"الحقد, الحسد, الدلاخة, وبعده عن الدين"
أنا متأكد من أن بعضهم متحيز سياسيًا، ويتظاهر بأنه لا يوجد شيء خاطئ.,Medium,criticizing and accusatory,critical and opinionated,suspicious,"متحيز سياسيًا, يتظاهر"
هو السلام بتاعكم خاص بالصهاينة فقط ، يا له من سلام,Medium,sarcastic,confrontational and derogatory,negative,"الصهاينة, يا له من سلام"
هل تقصد مثل دنيس كودرير؟,Low,neutral,inquiring,neutral,none
خذوهم على قد عقلهم بس قبلها حاسبوهم,Medium,condescending,informative and critical,caution,"خذوهم, عقلهم, حاسبوهم"
الجهل كابوس.,Medium,negative,metaphorical,strong disapproval,"الجهل, كابوس"
اسمع كل كلامك وسبك وشتمك لا يعنينا شي هو سوال واذا انت من صلب رجال جاوبه شو قدم…,High,aggressive,confrontational and dismissive,challenging,"سبك, شتمك"
أردوغان يموت سياسيا وشعبيا وأصبح فى النزع الأخير.مات حلم الخلافه.فقد الأمل فى دخول أتحاد أوروبا,High,confrontational and negative,political and critical,pessimistic,"يموت, النزع الأخير, مات حلم, فقد الأمل"
بعيدا عن التنمر والتشمت لاكن شفت البيتموجي حق افنان وكانت سمينة!! شلون تجي تتكلم ع الرشيقة هذاي😅,High,derogatory,colloquial,mocking,"التنمر, التشمت, سمينة"
ايه انا اقصد كذا لان قبل كنت انا أزعلك,Medium,apologetic,conversational,regretful,أزعلك
شبعنا كلام عدي اي خط فيهم وخلصنا,Medium,frustrated,colloquial and assertive,impatient,"شبعنا كلام, خلصنا"
يتم دفع الأموال لبراون مقابل معاملة سيئة لنساء متعددات.,High,accusatory,descriptive and negative,critical,معاملة سيئة
اذهب بعد المجرمين لا نباتات.,Medium,commanding,directive,negative,مجرمين
كثروا المنافقين اصحاب المصالح هاذا اكبر عميل لأيران في لبنان ، تابع هالفديوا وتعرف هالمرتزق,High,accusatory and hostile,derogatory and inflammatory,negative,"منافقين, اصحاب المصالح, عميل, مرتزق"
اجانا واحد ويحكي ترا ابل ماتسوي شئ وتأخذ ضريبه ٣٠% ومن فورت خفضت الاسعار شواي قالوا لا نبي فلوس اكثر خلاص…,Medium,critical,informative,negative,"ماتسوي شئ, تأخذ ضريبه, لا نبي فلوس اكثر"
تعليقك مثير للاشمئزاز، ولكن أكثر من ذلك، لا يتوافق مع المسيحية.,Medium,disapproving,informative and critical,negative,"مثير للاشمئزاز , لا يتوافق"
طيب الغي هدف لونغليه وخل هدف ميسي تكفى 💔,Low,informal,pleading and expressive,frustration,none
السفينة تبحر بسرعة كاملة للأمام,Low,neutral,descriptive,objective,none
المشكله هذي أفنان سمينة يعني هي آخر وحده تتكلم عن أجسام الخلق الواحد يشوف نفسه قبل يعيب على غيره,High,confrontational and judgemental,dismissive and critical,negative,"سمينة, يعيب"
اذا تحبون ال أردوغان اعملوا معروف الليرة في الدرك الاسفل هههه,Medium,sarcastic,informal and opinionated,negative,الدرك الاسفل
هذا إشارة واضحة إلى الشخص الذي لديك مشكلة معه، ترامب.,Medium,accusatory,confrontational,negative,مشكلة
مفوضو المقاطعة الأربعة سيئون,Medium,critical,informational and negative,disapproving,سيئون
وأشك أن البحرية الصينية يمكنها هزيمة البحرية الكندية.,Low,skeptical,informative,neutral,none
حقيقة انتي وامثالك سلبيين لان مافيه احد يدافع عنها,Medium,critical,disparaging,negative,سلبيين
انت والحبتور كنتو مجتمعين في باريس قبل سنه في فندق الريتس ممكن تحكيلي كم دفعلك؟؟,Low,curious,inquiring and informal,skeptical,none
حسبي الله دامك تنشرون الاخبار الكاذبه والرعب بين الناس,High,aggressive,accusatory and confrontational,anger,"حسبي الله, الاخبار الكاذبه, الرعب"
اللي يسب القصيم كمنطقه عشان هالبزارين مو محترم,High,derogatory,informal and aggressive,criticism,"يسب, بزارين, مو محترم"
أسوأ جريدة شفتها بهذا الوجود,High,critical/disparaging,informal and negative,hostile,"أسوأ, شفتها بهذا الوجود"
