Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
"este hombre dijo que iba a dormir un ratito, van 3 horas",Low,informal,conversational and neutral,casual,none
Me refregué los ojos y me acorde q la estuve re mil acariciando a esta mujer,Low,informal,conversational and casual,reflective,none
Me volví a enamorar,Low,emotional,expressive,positive,none
"El 23 de septiembre de 2020 descubrí que DMS significa demasiado, me siento frustrada.",Low,informative,expressive,frustration,frustrada
los dioses nos van a castigar x estas cosas,Medium,ominous,informal,threatening,castigar
Tengo que dejar de darle vueltas a la facu,Low,informal,conversational and personal,reflective,none
"No puedo conciliar el sueño, qué frustración.",Low,expressive,emotional,frustrated,frustración
noo como extraño ganar en el ludo,Low,informal,expressive and personal,nostalgic,none
"AH PERO NO FUERA UN ATAQUE DE SAQUEOS, AHÍ ELLOS CIERRAN INMEDIATAMENTE.",Medium,sarcastic,informal and critical,frustration,"ataque, saqueos"
La verdad le duele a ese tipo,Low,informal,assertive,critical,"duele, tipo"
"No sé, son cosas insignificantes que, como siempre, me afectan aunque sé que no deberían",Low,reflective,expressive,frustration,insignificantes
Miren este video y luego decidan quiénes son los verdaderos racistas.,Medium,challenging,provocative,confrontational,racistas
los verdaderos españoles están en el norte,Medium,exclusionary,assertive,discriminatory,none
q pasada macho,Low,informal,colloquial and expressive,positive,none
"Eso al régimen le da igual,tan habladera y no pasa nada.",Medium,critical,informal,discontent,"régimen, habladera"
Haciendo un gran trabajo como siempre y dejando mal a la izquierda.,Low,informal,critical and opinionated,slightly negative,dejando mal
AJAJAJAJAJAJAJAJAJAJAJAJAJA QUE VERGÜENZA EL PENALTI QUE LE HAN REGALADO AL MADRID DIOS MIO!!!,Medium,sarcastic,colloquial,negative,"VERGÜENZA, REGALADO"
Y ganando 4 a 1... en medio de todo esto... intento despejar la pelota con la cabeza... qué determinación.,Low,admiring,informal and descriptive,positive,none
"Por un 2019 q, y que todo me duela menos🙏🏻",Low,reflective,casual,hopeful,duela
"No pienses eso jajajajaja que la cambien a la siguiente ciudad si quieren, no en Málaga",Low,informal,casual and humorous,light-hearted,none
EL CAMPEÓN ERA WOS,Low,neutral,informative,positive,none
Así que cámbiame la cara de malgeniado,Medium,commanding,informal,frustrated,malgeniado
Que ninguna me mande nudes es otro asunto,Medium,disrespectful,informal and suggestive,entitled,nudes
No hay nadie que me afecte tanto como tú.,Medium,emotional,expressive,negative,afecte
Me falta tener relaciones sériales para hacer pleno,Medium,factual,explicit,desirous,sériales
"Por favor, te pido que moderes tus palabras.",Low,polite,formal and instructive,concerned,none
Esa pistola con nobel me mandó lejos,Medium,aggressive,colloquial,hostile,pistola
"Si subo un historia es para que me la respondas, no se cómo explicarte",Low,informal,personal and conversational,frustrated,none
Uno para pasar los cólicos ay chao de aqui,Low,informal,casual,dismissive,chao
se me ha colado el coche en la rampa más heavy que he subido nunca,Low,informal,conversational and expressive,frustrated,heavy
También me gustaría casarme con Namjoon cuando lleva el pelo corto y verde. ¡Divino!,Low,informal/reverential,expressive/emotional,admiration,none
"No intento cambiar a la gente pero si sé que das más , pues  para que conformarte ?",Low,neutral,conversational,motivational,none
quien viene a ver detective pikachu conmigo,Low,informal,inviting and neutral,friendly,none
ellos deben de tener su merecido,Medium,assertive,colloquial and direct,negative,merecido
Ni aquí ni en ningún lugar,Low,neutral,assertive,indifferent,none
Va a defecar de tanto apretar,Medium,crude,vulgar,negative,defecar
Me ha hecho sentir cosas,Low,neutral,informative,ambiguous,none
Que molesto ir al minor !,Low,frustrated,casual,negative,molesto
"Debido a aficionados como este individuo, se burlan de nuestro equipo",Medium,disapproving,critical,negative,burlan
Sigan con sus cosas de marchas para que después le echen la culpa al gobierno de los aumentos de cocos-19,Medium,sarcastic,informative and critical,frustrated,echen la culpa
Nadie querrá liderar una organización criminal.,Medium,neutral,informative,negative,criminal
Le pusiste sueldo de 50k a pateadores al azar con primas anuales.,Low,neutral,informative,casual,none
"vamos Gil, Luana lo verá",Low,neutral,informative and neutral,casual,none
Por esta misma razón me resisto siempre,Low,assertive,expressive and subjective,negative,resisto
"Entendido, ve llorando de una vez.",Medium,sarcastic,derogatory,dismissive,llorando
Otra de el mundo es resultado de problemas originario,Low,neutral,informative,neutral,problemas
Cuando se dió cuenta del error que hizo,Low,neutral,informative,regretful,error
"Es una pandemia, no comentarios innecesarios.",Low,serious,direct and assertive,critical,innecesarios
Es una persona muy limitada en comparación con BRANDONI...,Medium,critical,informative and negative,disparaging,limitada
"Se debe estar muy adormecido para compararlos, pero se debe estar mucho más adormecido para demeritar a uno por otro.",Medium,critical,expressive,disapproving,"adormecido, demeritar"
"Sí, estoy pensando en arruinar el final para todos porque fue muy decepcionante.",Medium,assertive,conversational and negative,frustration,"arruinar, decepcionante"
"¡Oh, vaya! Esta no es precisamente la mejor manera de comenzar, ¿verdad?",Low,informal,reflective and slightly critical,disappointment,mejor manera
"Resultado: Como suele suceder, algunos individuos son los primeros en retirarse.",Low,neutral,informative,neutral,none
"Y aquí estoy yo, hablándote primero otra vez.",Low,informal,conversational,casual,none
Y me acuerdo del motivo por el que me bloquearon y me parto de risa.,Medium,sarcastic,colloquial and informal,derisive,bloquearon
"Daniel Mendoza y Gener Usuga son tan ridículos, la bajeza de ellos se meterse con un niño",High,derogatory,offensive,hostile,"ridículos, bajeza"
"Vaya, todo muerto es bueno",High,sarcastic,informal,hostile,muerto
O hacen historias de dudosa reputación.,Medium,critical,opinionated,negative,dudosa reputación
Te hubiera dado el dinero para que me trajeras una bebida a la mesa,Low,neutral,informative,regretful,none
"Opino lo mismo, da risa leer a los que no tienen ni idea",Low,dismissive,informal and critical,condescending,"da risa, no tienen ni idea"
Ahí si se sorprenderían,Low,neutral,informative,surprise,none
COMO DIJO ROSA PARKS UNA BUENA MILI TE HACIA FALTA A TI,Medium,insulting,informal and caustic,critical,none
Cada quien sabe en lo que se mete.,Low,neutral,informative,objective,none
"Las cortes corruptas y ahora también con abusos sexuales, por eso la justicia de este país está hecha un desastre.",Medium,critical,informative and accusatory,negative,"corruptas, abusos sexuales, desastre"
Si entendieran que no por salir embarazada se tienen que casar se ahorrarían muchos problemas,Medium,judgmental,advisory and opinionated,critical,problemas
"A veces nose si bloquear a Abi o hablarle para que no me escriba, me molesta",Medium,frustrated,assertive,annoyance,"bloquear, molesta"
Ayer denunciamos a Mono Ramos y hoy lo echaron,Medium,informal,narrative,critical,"denunciamos, echaron"
3 horas seguidas dedicadas a preparar todo para la partida. Creo que podría acostumbrarme a este ritmo.,Low,neutral,informative,positive,none
Quien es el Pirizz,Low,neutral,informative,curiosity,none
La idea es salir con precaucion para reactivar la economoa que lleva meses por culpa del COVID-19,Low,neutral,informative,cautious,culpa
Asi que  como usted hay tantos que por ser socialista y de izquierda cree que no somos independientes,Medium,confrontational,accusatory,negative,"socialista, izquierda, no somos independientes"
Sisi viva la patria y coso pero NO SUBAN FOTOS,Low,informal,commanding and emphatic,restrictive,none
"Orgullosos de nuestro barrio, no lo podréis entender 💪",Low,defensive,assertive,pride,none
"¿Será así de nacimiento, o solamente estará interpretando un papel?",Medium,sarcastic,speculative and casual,doubtful,"nacimiento, papel"
JOH tiene que ganar,Low,assertive,informative,determined,none
Odio más a los grillos cuando estoy estresada 😭,Medium,informal,emotional,frustration,Odio
pero haz silencio - pero que me abandones,Medium,commanding,direct and assertive,negative,abandones
Que ganas de tenerte,Low,informal,expressive,positive,none
Por que iba a ver yo esto si tengo mi mente tranquila,Low,neutral,casual and dismissive,disinterest,none
Gran que reflejos tenía Bush,Low,neutral,informative and neutral,positive,none
Primera presentación de Tinelli que mala es,Medium,critical,informative and judgmental,negative,mala
No vuelvo a hacer ni el mas minimo conmentario al respecto,Low,firm,decisive,neutral,none
"Layun tirando carro, el chiste se cuenta sólo.",Low,informal,sarcastic,humorous,none
"Y en mayo más, en junio más, en julio más.......",Low,neutral,informative,neutral,none
Estai viejo pa comentar esas cosas,Medium,informal,colloquial and dismissive,disrespectful,viejo
Shhh hay que tener fe,Low,informal,reassuring and neutral,positive,none
Siempre así de malos,Medium,critical,informative and accusatory,negative,malos
esta harta de la vida,Medium,despairing,emotional and negative,frustration and exhaustion,"harta, vida"
Cuesta mucho estar con una persona y en segundos todo puede volverse un caos.,Low,informal,reflective and neutral,pessimistic,caos
No tengo ni idea,Low,informal,neutral and straightforward,neutral,none
Debes saber que este hombre ha firmado 8.000 sentencias de muerte.,Medium,serious,informative,grim,muerte
Lo peor es que hay tantas personas ingenuas que le creen.,Low,informal,judgmental,disapproving,ingenuas
Entrar al metro puede ser una experiencia incómoda o desagradable.,Low,neutral,informative,negative,"incómoda, desagradable"
"Firme porque Dalito está solicitando asilo, quiere quedarse en USA. Sería mejor que regrese y enfrente las consecuencias.",Medium,implicit criticism,informative but judgemental,disapproving,consecuencias
"No importa nada, juro que me había levantado a jugar y tomó su peluche jajaja Küyén loco",Low,informal,casual and humorous,playful,none
muy fan de la forma de saludar de Pablo a la gente que no conoce,Low,positive,informative and casual,friendly,none
"Si se sienten mal, acuérdense que una vez se hizo una caravana en honor a Paul walker 😘",Low,encouraging,colloquial and emotional,positive,none
Se ven bien finas sacando $8.50 pesitos de su bolsa michael kors para pagar el pasaje del transbus.,Medium,sarcastic,colloquial and critical,condescending,"fina, pesitos"
No hay nadie de la oposición con la valentía suficiente para presentar la denuncia.,Medium,critical,assertive,disparaging,"nadie, sin suficiente valentía"
Este Santiago 😡,Low,angry,informative and emotional,frustrated,none
"Es muy desconsiderado, ni siquiera me habla. ✋",Medium,accusatory,informal,negative,desconsiderado
"Copito esta insoportable, parece que sabe que es su cumpleaños",Medium,informal,descriptive and expressive,frustrated,insoportable
"Me da igual lo que pase hoy, voy a comer un sándwich y ya.",Low,informal,casual,indifferent,none
"Mientras tanto, el aprendiz de secretario intenta transferir la responsabilidad a la ONU.",Medium,critical,informative,disapproving,"aprendiz, intenta transferir"
casi lo dejan en covid,Medium,informal,colloquial and casual,negative,"dejan, covid"
"ginobili que valiente que es, grande manu #Túnez",Low,enthusiastic,informal,praise,none
Qué es esa ubicación millennial que me enoja tanto.,Medium,frustrated,colloquial,negative,"ubicación, enoja"
"Mi guatita me está matando, prometo dejar de comer mal.",Low,informal,expressive and personal,concerned,"matando, mal"
"Por qué no llueve ahora, YA",Low,demanding,expressive,impatient,none
"¿¡A caso pretendes llevarme la contrario, amigo!?",Medium,aggressive,confrontational,hostile,contrario
Habla como chileno,Low,neutral,informative,neutral,none
Ya me dio esa sed de la que haces enojar a los novios de las mujeres.,Medium,provocative,informal,antagonistic,enojar
A ver cuando ponen la canción tusa,Low,casual,informative,anticipation,none
Cuando nos pinta bajón inventamos lo que sea para comer,Low,casual,informal,light-hearted,none
ni para un par de medias,Low,informal,colloquial,negative,none
"Tener pareja es genial; pero tener amigos, verdaderos amigos eso no se compara con nada",Low,informal,conversational and reflective,positive,none
Es decepcionante que utilicen los recursos de un partido para ganar un cargo legislativo y luego lo tomen a la ligera.,Medium,critical,informative and formal,disapproval,"decepcionante, tomen a la ligera"
Gracias a Dios no te reíste cuando perdí el quinto.,Low,informal,informative and expressive,relief,perdí
Llevo más de un mes con los pies hinchados.,Low,informal,informative and neutral,concerned,hinchados
Tengo un quilombo en la cabeza y el corazón hecho trizas,Low,informal,expressive and emotional,frustration and sadness,"quilombo, trizas"
"Es irónico que las Cortes, con sus propios problemas, hablen de moral.",Low,ironic,critical,disapproving,"ninguno, problemas"
Los que libráis hoy no decís nada ehh?? #DiaDeLaConstitucionEspanola,Low,informal,conversational and slightly accusatory,mildly critical,none
Ya puse la de Don't Want A Miss A Thing de Aeroesmith por si se acaba el mundo ahorita,Low,informal,casual and humorous,light-hearted,none
"Sali de ahí Martínez, es pasar vergüenza",Medium,informal,directive and dismissive,disapproving,vergüenza
Luego problema absoluto lo q moverá en torno a ella en redes sociales por ej,Medium,critical,conversational and informal,negative,"problema, absoluto"
