Sentence,Negative Connotations
"Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...",забивати хуй
"Ахахах, єбать, добре, шо не поступав туди#КНЕУ_топчік",єбать
"Все одно він мудак, бо не пише)",мудак
Тому доводиться вмикати режим хитрожопість.,хитрожопість
"От нахуя мене зайобувати з самого ранку, а???","нахуя, зайобувати"
"бляха, як же мені прикро, що все так ;(",бляха
Хороші спогади - це та ще хуйня.,хуйня
Бо вам то не подобається.та блять.,блять
Кольорова печать на звичайному папері 10 гривень блятьІдіть нахуй,блятьІдіть нахуй
"І головне ж перша заговорила, а я...лох...",лох
Ідіть нахуй зі своїми блядськими стереотипами.,"нахуй, блядськими"
"Очевидно, бог чистоти приготував, щоб пиздити мене, бо не прибираю.",пиздити
НєБо у вас хуйовий гуртожиток,хуйовий
"Кидайте цю милоту будь якому руснявому гівну, що почне патякати за те як на Сколєнії жить харашо.","руснявому гівну, патякати"
Подруга прийшла пиздіти зі своїм мудаком до мене в кімнату.,"пиздіти, мудаком"
"Є частинка щастя в хорі народу на концерті Жадана і Собак, який співає:Чотири роки сука без Кобзона!",сука
Всі збиратимутися та дрочитимуть на твої фоточки.,дрочитимуть
"Бандіти, написав в бложик, про те як мусарку вогнеметами озброїли.","Бандіти, мусарку"
Нахара ти включила бізнес аккаунт в інста якщо ти школоло і тебе фоловлять тільки твої однокласники блять..,"нахара, школоло, блять"
Так хочеться простого людського щоб до крові відпиздили по дупі.,відпиздили
каре і срібло у хуйовій якості,хуйовій
"обколються своєю марихуаною, а потім всяку хуйню роблятьнаркотики - зло","обколються, марихуаною, хуйню, наркотики, зло"
Коли ти дуже жостко підйобуєш Настю,жостко підйобуєш
Дуже хочу написати щось дуже розумне але хуй його знає що...,хуй
Ну чьо Михасику не отримаєш ти того що ти блядь хочеш...,блядь
- Ти бухаєш водяру і забиваєш на все болт!,"бухаєш, водяру, забиваєш, болт"
"Він потім думає, ну і в пизду не дуже то і хотілось їсти.",пизду
Українська термінологія - це піздєц.,піздєц
"І бля, їхала сюди - то мала роботу.",бля
"Хочу постити депресивну хуйню в інст, але там забагато знайомих","депресивну, хуйню"
не лишайте пухнастих мудаків наодинці зі шкарпетками,мудаків
