Sentence,Negative Connotations
pues hazme los deberes furcia barata,furcia barata
Conclusión: pura mierda de paranormal....,mierda
Algunos pierden la cabeza por llegar a Paguitalandia.,pierden la cabeza
"Si los ladrones y golpistas de izquierda no le hubieran hecho tanto daño a Chile, probablemente todo sería mejor.","ladrones, golpistas"
No se puede tener peor gusto diseñando camisetas pa una peña  Que verguenza maricon,"peor, vergüenza, maricon"
Que analogía rebuscada y de mierda,mierda
Periodismo de mierda justificando esto !,mierda
JAJAJAJAJJAJA que vas a eclipsar tú y el otro subnormal xd,subnormal
"Pero que lo haga el gobierno y saqué pasta, vamos gilipollas, que os podéis forrar",gilipollas
"Buah yo no me haría nunca un twitter, eso está lleno de rojos de mierda.",mierda
Esperando reacciones de los perroflautas de #podemos,perroflautas
Paco llegado este punto nos da igual con tal de olvidarnos del PP y su estado fascista,fascista
"Marhuenda, ese gilipollas que dice que es catalán solo cuando pretende dañar a todos los catalanes, llama...",gilipollas
"ESTA NOCHE, MANDA MI POLLA (un primo suyo)",polla
"Lo veo bien, deja cada uno varias pensiones pagadas y se va a su pais.",ninguna
"E si non eres un periodista decente deberías cambiar de profesión, subnormal.",subnormal
"Estás enfermo y no quieres ver. Cada uno que arregle los problemas de su casa, aquí ya tenemos bastantes.","enfermo, problemas"
lo personal es político pero no por ello tienes ke ir a una manifa ke convocan sindicatos de mierda,mierda
"Vaya, nunca pensé oir decir eso a una mujer",nunca
Excepto si te lo envenenan con mierdas,"envenenan, mierdas"
Este país se va a la mierda,mierda
"Los halagos y buenos modales siempre hacen bien, menos a los izquierdistas de la cultura del odio.","izquierdistas, odio"
Te das cuenta la panda de retrasados que se han puesto a soltar espumarajos?,"retrasados, soltar espumarajos"
La única solución es irse de este país de mierda.,mierda
Sigue existiendo mucha basura en España que limpiar y no solo en lo político.,basura
Los centros de menores no tutelados son escuelas de delincuentes.,delincuentes
Esto para un pedazo de retrasado como tu:,pedazo de retrasado
"fijate, todo tiene su lado bueno, hasta el puto coronabicho","puto, coronabicho"
: #ModeloPodemos Ser comunistas y joder España  #LaHoraAzulPP278,joder
el Partido Socialista de Andalucía son una banda de delincuentes y chorizos,"delincuentes, chorizos"
Los mejores los más preparados para cortar cabezas,cortar cabezas
Y además te apellidas Castillo. Hay que ser un charnego retrasado encima..,"charnego, retrasado"
"Son los mejores. Paguita, alquiler y seguridad social ya. Rasistas","Paguita, Rasistas"
La mitad catalana borrega independentista sigue creyéndose sus mentiras.,"borrega, mentiras"
pues mucho no entiendo pq llamarlo asi cuando la palabra no es ofensiva putos progres,putos progres
Este es el maricón de Aida?,maricón
gummy cuando te pones subnormal eres un tocacojones,"subnormal, tocacojones"
y snk ultima temp pronto pd rachel puta zorra la traicion no se perdona,"puta, zorra, traicion"
"Lo que Cuba hace, como siempre, es propaganda mentirosa para que descerebrados como Nuñez repitan como loros.","propaganda mentirosa, descerebrados"
Este wifi boliguayo de mierda,mierda
"los Salesianos de San Francisco de Sales, Los Marianistas y los fascistas vecinos del San Cirano nos ablandaron en exceso.",fascistas
"Habla español, catalán de mierda 😋",mierda
Por mucho que intentes ser del Madrid nunca dejaras de ser un sudaca xd,sudaca
"Estaba tan bien durmiendo hasta q vino roco a despertarme, enano de mierda😒","mierda, enano"
No creo que haya en el mundo alguien que me dé más asco y sea más subnormal que Dani Rovira.,"asco, subnormal"
"Este cabron está peor que los 1,200 que están por llegar",cabron
Esos comunistas nazis judeo musulmanes creyéndose los reyes de la física,"comunistas, nazis, judeo, musulmanes"
Tu también Matt Reeves y tus putas ideas pendejas,"putas, pendejas"
"Que traigan otro cargamento, necesitamos más pagapensiones son una inversión de futuro.",pagapensiones
para vos y todos los trolos panelistas putos de Fox,"trolos, putos"
Yo soy así puto moro,"puto, moro"
"Charnego mañana salgo para ir a trabajar,  cosa que tu no sabes lo que es...",Charnego
"Y a mí qué me importa lo que tú notes, facha?",facha
"unos vecinos del primero son más rojos y perroflautas que la hostia, les he dejado 6 entradas en el buzón","rojos, perroflautas, hostia"
Pues puede trabajar de carnicero para pagar pensiones,
"Un cargador escaso de argumentario, parece.",escaso
A Emery se la devuelven por subnormal. PLANTEA A LA PROXIMA UN BUEN PARTIDO,subnormal
O sea que ahora la mafia tiene viajes de ida y vuelta,mafia
"A su vez que no es lo mismo ser cristiano que catolico , pero tu eres CATETA.",CATETA
"Olé sus huevos morenos (los del periodista). Si hablas de expulsar del pais a alguien, porque omites la nacionalidad.",expulsar
"#CeseDefinitivoCPCCS estos miserables su salida del CPCCS va hacer mas rápido q su puta nombramiento,","miserables, puta"
Ahora un nazi en RTVE #lahoraespinosadelosmonteros,nazi
"muy ateos que sois pero bien que os gustaría ser dios, eh? malditos hipocritas","malditos, hipocritas"
"Hostia, como la quimioterapia, nos hace daño, pero si aguantamos lo suficiente, podemos vencer al cáncer.","Hostia, daño"
ESPAÑA CORRUPPCIÓN Derecha PP fascista franquista gobernando con 30% en España no entiende porqué Cataluña quiere Independencia y República.,CORRUPPCIÓN fascista franquista
"Pues a mi me recuerda tus diversas lesiones graves y me descojono, subnormal. Acabado.","lesiones graves, descojono, subnormal, acabado"
"Mientras tanto, la gente matandose a currar como cabrones para vivir en una puta colmena","matandose, cabrones, puta"
porque no tenéis a un subnormal por entrenador.,subnormal
"Quién te querría besar a ti, mongolo.",mongolo
"que asco de gente dios, que busquen el significado de hembrismo y de feminismo y luego hablan",asco
"Los políticos lo toleran todo lo que no va contra ellos, baste fijarse en Iglesias, con su casoplón.","toleran, contra, casoplón"
Aquí va una canción para todos y cada uno de los putos fascistas del PP… Fuck You de Lily Allen,"putos, Fuck You"
"Está viniendo lo mejor de cada casa para mejorar el país, sin duda alguna.",
Que cabron el que publicó la foto de los finalistas de master chef😡😂😂,cabron
qué bonito es ver a fachas rabiar dios me ahogo,"fachas, rabiar"
Cuánto facha de mierda en una mención voy a vomitar,"mierda, vomitar"
Pero sois periodistas o idiotas? Aún estando en catalán pone Franquismo!,"idiotas, Franquismo"
hay que ser hp para robar un zumo en alta mar.,"hp, robar"
La última mamarrachada de EA es tremenda.,mamarrachada
"Es su cultura y hay que respetarla. Un abrazo desde Ronda, Málaga.",
¿Van a seguir con el mismo tema de los comediantes mediocres?,mediocres
no te sale bien el catalán prueba en francés... chupala hijo puta 😂😂😂,"chupala, hijo puta"
Antes me como un whopper que decir algo bueno del subnormal ese,subnormal
